OBJECTID,CIP_ID,MAJOR_SECT,PROJECT_CL,RESPONSIBL,CIP_TITLE,SHAPEarea,SHAPElen
17,2-118,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,SHORE DRIVE IMPROVEMENTS (MARLIN BAY TO STRATFORD),94753.10927212,3040.94505678575
18,2-168,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,LESNER BRIDGE REPLACEMENT,21063.046068035,514.478513341864
19,4-502,CULTURAL AND RECREATIONAL OPPORTUNITIES,,PARKS AND RECREATION,LYNNHAVEN BOAT RAMP & BEACH FAC REPAIRS,44076.84984705,744.238032627511
20,2-168,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,LESNER BRIDGE REPLACEMENT,38043.412470785,1287.02229406824
21,2-168,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,LESNER BRIDGE REPLACEMENT,21062.837650495,514.475968106748
22,8-013,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,LYNNHAVEN INLET MAINT. DREDGING II,483507.694055315,12000.2623428478
23,2-117,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,SHORE DRIVE IMPROVEMENTS PHASE III,176303.4540669,4911.67792394769
24,2-145,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,WELLEYAN DR (FIRST CITIES PROJECT),38961.90682403,1751.89078513029
25,8-005,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,WESTERN BRANCH LYNNHAVEN RIVER MAINT DREDGING,1385914.9820674,20231.5578150257
26,5-090,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,LYNNHAVEN PARKWAY - PHASE X1 WATER IMPROVMENTS,139299.817941525,8306.76522252235
27,2-167,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,LYNNHAVEN PARKWAY - PHASE XI,139299.817941525,8306.76522252235
28,5-149,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,INDIAN RIVER ROAD WATER IMPROVEMENTS - PH VII,199005.830813045,8416.08643877124
29,6-051,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,INDIAN RIVER RD. SEWER IMPROVEMENTS - PH VII,199005.830813045,8416.08643877124
30,5-148,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,ELBOW ROAD EXTENDED WATER IMPROVEMENTS - PH 1 & II,406421.61651249,13502.505055925
31,2-256,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,INDIAN RIVER ROAD - PH VII,208283.50661548,8966.06655793818
32,2-152,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,ELBOW ROAD EXTENDED PHASE II,291577.747241525,10598.8997233383
33,9-500,ECONOMIC VITALITY,,ECONOMIC DEVELOPMENT,VIRGINIA BEACH AMPLITHEATER CAPITAL MAINTENENCE,211191.714931495,1629.08953764944
34,4-503,CULTURAL AND RECREATIONAL OPPORTUNITIES,,PARKS AND RECREATION,PARKS & RECREATION CITY WIDE OFFICE RELOCATION,50379.87856644,795.673962384274
35,4-080,CULTURAL AND RECREATIONAL OPPORTUNITIES,,PARKS AND RECREATION,SPORTSPLEX RENEWAL & REPLACEMENT - PHASE I,892506.41433712,3790.097926947
36,4-053,CULTURAL AND RECREATIONAL OPPORTUNITIES,,PARKS AND RECREATION,U.S. FIELD HOCKEY FACILITY - INFRASTRUCTURE MAINT.,864682.195397355,4576.04077187976
37,6-151,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,LANDSTOWN YARD IMPROVEMENTS - PHASE III,288426.29293052,2313.63002052766
38,5-151,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,LANDSTOWN YARD IMPROVEMENTS - PH IV,288426.29293052,2313.63002052766
39,2-305,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,PRINCESS ANNE ROAD -  PHASE IV (FERRELL - PHASE I),253930.905551105,10848.0778226147
40,5-024,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,HOLLAND ROAD - PHASE VI WATER IMPROVEMENTS (VDOT),194878.479868835,9442.62551155743
41,2-158,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,HOLLAND ROAD - PHASE VI,194878.479868835,9442.62551155743
42,6-057,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,HOLLAND ROAD - PHASE VI SEWER IMPROVEMENTS,87118.35591848,4681.71108823925
43,1-056,QUALITY EDUCATION AND LIFELONG LEARNING,SCHOOLS,SCHOOLS,PRINCESS ANNE MIDDLE SCHOOL MODERNIZATION,154285.371447095,1650.34816193147
44,1-106,QUALITY EDUCATION AND LIFELONG LEARNING,SCHOOLS,SCHOOLS,KELLAM HIGH SCHOOL,682421.24149045,4423.44060639706
45,5-604,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,PRINCESS ANNE ROAD WATER IMPROV PH VII,88169.69912843,2298.02244247763
46,2-195,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,PRINCESS ANNE ROAD - PHASE VII,115268.22878834,3448.99703728034
47,7-037,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,BELLAMY MANOR OUTFALL DITCH,24722.31660347,2523.80564939573
48,2-089,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,SOUTHEASTERN PARKWAY & GREENBELT,2750037.91961055,50215.9693123529
49,3-133,SAFE COMMUNITY,,FIRE,FIRE TRAINING CENTER IMPROVEMENTS - PHASE III,156042.71968151,1828.44883068518
50,6-203,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,LOTUS GARDENS SEWER IMPROVEMENTS,1545918.59936826,9260.20216497746
51,3-278,CULTURAL AND RECREATIONAL OPPORTUNITIES,,MUSEUMS,VA AQUARIUM RENEWAL AND REPLACEMENT - PHASE II,323947.43831074,4013.99519243227
52,3-146,QUALITY PHYSICAL ENVIRONMENT,BUILDINGS,PUBLIC WORKS,VA AQUARIUM BUILD. SYSTEMS REHAB & RENEWAL,323947.43831074,4013.99519243227
53,5-203,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,LOTUS GARDENS WATER IMPROVEMENTS,1545918.59936826,9260.20216497746
54,3-292,QUALITY PHYSICAL ENVIRONMENT,BUILDINGS,PUBLIC WORKS,VA AQUARIUM CARE ANNEX,19254.985787535,491.901639091703
55,9-069,ECONOMIC VITALITY,ECONOMIC AND TOURISM,PUBLIC WORKS,19TH STREET CORRIDOR IMPROVEMENTS,461804.01873644,4586.47546284904
56,5-708,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,RESORT AREA NEIGHBORHOOD REVITALIZATION,4474356.74578927,10321.1973668609
57,7-005,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,NORTH LAKE HOLLY WATERSHED,1221513.45216689,4740.32026235424
58,6-019,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,RESORT AREA NEIGHBORHOOD REVITALIZATION,4474356.74578927,10321.1973668609
59,8-010,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,SANDBRIDGE BEACH RESORATION II,1989821.66837211,22596.3962312597
60,3-248,SAFE COMMUNITY,,FIRE,FIRE AND RESCUE STATION - BLACKWATER,11722.040179795,428.100826177996
61,2-072,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,FIRST COLONIAL RD/VA BEACH BLVD. INTERSECTION IMP.,107078.010436795,3784.4887608205
62,6-601,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,FIRST COLONIAL RD/ VA BEACH BLVD INTERSECTION IMP,140789.222377395,1330.12124969886
63,7-016,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,SOUTH LAKE HOLLY WATERSHED,1728403.50480181,5549.25060449313
64,9-058,ECONOMIC VITALITY,,PUBLIC WORKS,9-058 RUDEE WALK - PHASE I,22194.09282032,1409.67779083431
65,7-035,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,LAWSON FOREST DRAINAGE,286784.9793655,2101.78423650601
66,3-201,SAFE COMMUNITY,BUILDINGS,COMMONWEALTHS ATTORNEY,COMMONWEALTHS ATTORNEY JUDICIAL CENTER EXPANSION,30588.52751232,619.99175400027
67,3-507,QUALITY PHYSICAL ENVIRONMENT,BUILDINGS,PUBLIC WORKS,JUDICIAL CENTER WATER INTRUSION ABATEMENT,30588.52751232,619.99175400027
68,3-510,FAMILY AND YOUTH,BUILDINGS,HUMAN SERVICES,INTERMEDIATE CARE FACILITIES RENEWAL & REPLACEMENT,1800.05644724,179.129453763919
69,3-510,FAMILY AND YOUTH,BUILDINGS,HUMAN SERVICES,INTERMEDIATE CARE FACILITIES RENEWAL & REPLACEMENT,2179.88958672,190.689979303436
70,3-510,FAMILY AND YOUTH,BUILDINGS,HUMAN SERVICES,INTERMEDIATE CARE FACILITIES RENEWAL & REPLACEMENT,50258.018245615,876.839456472233
71,3-510,FAMILY AND YOUTH,BUILDINGS,HUMAN SERVICES,INTERMEDIATE CARE FACILITIES RENEWAL & REPLACEMENT,9154.64266475,509.658261139011
72,6-564,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,RELOCATION OF SEWER CLEANOUTS-NORTH LANDING RD,53966.872273925,4676.15323752228
73,7-406,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,ELIZABETH RIVER TMDL IMPLEMENTATION,63547472.1142162,58346.2823687863
74,7-410,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,SOUTHERN RIVER TMDL IMPLEMENTATION,827942845.568669,156042.364283626
75,5-601,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,FIRST COLONIAL RD/ VA BEACH BLVD INTERSECTION IMP,140789.222377395,1330.12124969886
76,2-409,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,CENTERVILLE TUNRPIKE INTERIM IMPROVEMENTS,158788.63345839,7524.44522348105
77,9-085,ECONOMIC VITALITY,STRATEGIC GROWTH AREA,STRATEGIC GROWTH AREA,SGA-BURTON STATION ROAD IMPROVEMENTS,666408.552734545,2893.85494817669
78,9-505,ECONOMIC VITALITY,ECONOMIC AND TOURISM,STRATEGIC GROWTH AREA,PEMBROKE STRATEGIC GROWTH AREA,108214.657098105,6146.0427342898
79,3-518,QUALITY PHYSICAL ENVIRONMENT,BUILDINGS,PUBLIC WORKS,CONVERTION CENTER CAPITAL MAINTENANCE,90076.641747045,1219.28798565602
80,4-079,CULTURAL AND RECREATIONAL OPPORTUNITIES,BUILDINGS,PARKS AND RECREATION,THALIA CREEK GREENWAY- PHASE 1,135819.55300476,2211.0292350223
81,8-500,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,OLD DONATION AREA DREDGING,468521.2021287,4851.41498862498
82,7-411,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,OCEANFRONT STORM WATER FACILITIES MAINTENANCE,2080008.16372906,21707.104696001
83,5-027,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,LESNER BRIDGE WATER LINE REPLACEMENT,38043.412470785,1287.02229406824
84,5-028,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,WITCHDUCK ROAD - PHASE II WATER IMPROVEMENTS,90932.29559405,2163.58152484446
85,5-030,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,SHORE DRIVE WATERLINE IMPROVEMENTS PHASE III,190068.689251635,5153.23808475149
86,8-406,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,RUDEE INLET FEDERAL DREDGING - PHASE II,80302.32835452,4144.12326455248
87,8-407,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,RUDEE INLET OUTER CHANNEL MAINT. DREDGING - PH II,44866.12268439,973.551890057551
88,8-405,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,SANDBRIDGE BEACH ACCESS IMPROVEMENTS - PH II,1989821.66837211,22596.3962312597
89,7-400,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,ARAGONA DRAINAGE IMPROVEMENTS,2534542.86859168,6415.2644586239
90,5-168,QUALITY PHYSICAL ENVIRONMENT,WATER UTILITY,PUBLIC UTILITIES,SHORE DRIVE WATER LINE IMPROVEMENTS - PH II (VDOT),94753.10927212,3040.94505678575
91,4-517,CULTURAL AND RECREATIONAL OPPORTUNITIES,PARKS AND RECREATION,PARKS AND RECREATION,STUMPY LAKE GOLF COURSE LEASE OBLIGATIONS - PH I,6594832.83715293,13196.7604214736
92,1-043,QUALITY EDUCATION AND LIFELONG LEARNING,SCHOOLS,SCHOOLS,THROUGHGOOD ELEMENTARY SCHOOL REPLACEMENT,79431.40816205,1325.20430563535
93,1-107,QUALITY EDUCATION AND LIFELONG LEARNING,SCHOOLS,SCHOOLS,PRINCESS ANNE HIGH SCHOOL REPLACEMENT,273524.261879655,2688.13770190069
94,7-409,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,SHORE DRIVE DRAINAGE PRELIMINARY DESIGN,2821690.96677141,9042.97520631188
95,2-418,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,INDIAN RIVER RD / KEMPSVILLE RD IMPROVEMENTS,69033.69253091,931.401893722674
96,9-091,ECONOMIC VITALITY,STRATEGIC GROWTH AREA,STRATEGIC GROWTH AREA,SGA-BURTON STATION ROAD IMPROVEMENTS - PHASE III,666408.552734545,2893.85494817669
97,3-519,CULTURAL AND RECREATIONAL OPPORTUNITIES,BUILDINGS,MUSEUMS,CHESAPEAKE BAY AQUARIUM RENOVATION,323947.43831074,4013.99519243227
98,4-520,CULTURAL AND RECREATIONAL OPPORTUNITIES,PARKS AND RECREATION,PARKS AND RECREATION,GROMMET ISLAND PARK REPAIRS & RENOVATIONS,4487.6034579,268.183014075779
99,9-276,ECONOMIC VITALITY,,PARKS AND RECREATION,CAPE HENRY LIGHTHOUSE RESTORATION,21565.488518455,520.578585927571
100,2-422,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,INDIAN RIVER/ PRINCESS ANNE INTERSESTION IMPROVEME,30296.53169269,1292.90816123253
101,8-501,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,BAYVILLE CREEK NEIGHBORHOOD DREDGING,585635.998511495,2712.81614659859
102,8-409,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,CHESAPEAKE BEACH RESTORATION,229827.022307565,4343.23402216322
103,8-408,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,PLEASURE HOUSE POINT MITIGATION,784132.9517694,4925.01703401731
104,8-502,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,SHADOWLAWN AREA DREDGING,242292.129937515,4903.30724892446
105,2-419,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,CENTERVILLE TURNPIKE PHASE III,88373.620932725,4671.09279312494
106,9-096,ECONOMIC VITALITY,ECONOMIC AND TOURISM,STRATEGIC GROWTH AREA,OCEANFRONT CAPITAL PROJECTS REINVESTMENT,682056.05661715,11823.6994144386
107,9-100,ECONOMIC VITALITY,ECONOMIC AND TOURISM,STRATEGIC GROWTH AREA,19TH STREET INFRASTRUCTURE IMPROVEMENTS,99955.46629102,2105.53241272855
108,2-030,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,FIRST COLONIAL RD/ LASKIN RD INTERSECTION IMPROVEM,188149.012801235,1537.64997705545
109,2-033,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,PRINCESS ANNE ROAD PHASE VII-A,272818.132041005,8816.19772521795
110,2-034,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,SOUTH INDEPENDENCE/ SILVERLEAF DR INTERSECTION IMP,33492.12779055,648.750918564777
111,2-037,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,NEWTOWN ROAD AND BAKER ROAD INTERSECTION IMPROVEME,167686.659554395,1451.62946214286
112,2-038,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,ROSEMOUNT RD - PHASE V,121224.885341105,5979.23590941439
113,2-040,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,LASKIN ROAD BRIDGE REPLACEMENT,22384.011273335,913.432578950743
114,2-041,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,DAM NECK ROAD - PHASE I,113344.092703475,4186.37154235061
115,2-413,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,DAM NECK ROAD - PHASE II,103701.59624027,2894.58626764647
116,2-042,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,INDIAN RIVER ROAD / PROVIDENCE ROAD INTERSECTION  ,40084.436031535,1504.54784391111
117,2-414,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,SHIPPS CORNER ROAD IMPROVEMENTS,58080.776607585,3275.72640439096
118,2-416,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,SANDBRIDGE ROAD BRIDGE REPLACEMENT,7601.71983345,396.918032166244
119,7-028,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,WINDSOR WOODS DRAINAGE,8272813.28804696,12177.3676171007
120,3-019,CULTURAL AND RECREATIONAL OPPORTUNITIES,BUILDINGS,MANAGEMENT SERVICES,HERITAGE BUILDING - MAINTENANCE PROGRAM,83269.112611455,1022.93612202749
121,3-006,CULTURAL AND RECREATIONAL OPPORTUNITIES,BUILDINGS,FACILITIES MANAGEMENT,COASTAL CONSERVATION GARDEN AND OUTDOOR AQUARIUM,244251.404870585,3306.14823388869
122,2-045,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,PACIFIC AVENUE IMPROVEMENTS,22312.940555525,2052.41655712465
123,4-521,CULTURAL AND RECREATIONAL OPPORTUNITIES,,PARKS AND RECREATION,TRANSPORTATION ALTERNATIVES TO BACK BAY WILDLIFE R,376197.54176471,2174.27505534355
124,9-006,ECONOMIC VITALITY,ECONOMIC AND TOURISM,STRATEGIC GROWTH AREA,WINSTON SALEM AVE IMPROVEMENTS,72559.6247942,1770.82430343019
125,9-001,ECONOMIC VITALITY,ECONOMIC AND TOURISM,STRATEGIC GROWTH AREA,SANDBRIDGE MARKET RESTROOMS,5127.274715635,253.834224346305
126,9-108,ECONOMIC VITALITY,,STRATEGIC GROWTH AREA,29TH STREET IMPROVEMENTS,4267.063482715,425.261873613736
127,3-503,FAMILY AND YOUTH,BUILDINGS,HUMAN SERVICES,HOUSING RESOURCE CENTER,30269.18280591,746.366021812183
128,6-201,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,GREEN HILL FARMS SEWER IMPROVEMENTS,245679.64607872,2373.85002272271
129,6-075,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,LASKIN ROAD SEWER IMPROVEMENTS,260586.98509734,8755.55631444463
130,7-402,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,COLLEGE PARK / LEVEL GREEN DRAINAGE IMPROVEMENTS,1577179.10454079,6124.89613464184
131,7-403,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,EASTERN PARK DRAINAGE IMPROVEMENTS,934097.21932042,4188.07457515046
132,9-095,ECONOMIC VITALITY,,CAPITAL IMPROVEMENT PROGRAM,ARTIC AVENUE PARKING FACILITY,29463.76455325,703.382050391533
133,7-029,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,EASTERN SHORE DRIVE DRAINAGE PHASE II,2292810.3950599,8771.43616931014
134,7-024,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,SOUTHERN CANAL/LEAD DITCH AND CULVERT IMPROVEMENTS,438066.699679395,2346.26262647501
135,7-024,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,SOUTHERN CANAL/LEAD DITCH AND CULVERT IMPROVEMENTS,438054.02043305,2346.22867196332
136,7-024,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,SOUTHERN CANAL/LEAD DITCH AND CULVERT IMPROVEMENTS,437743.140603295,2345.39599553672
137,7-024,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,SOUTHERN CANAL/LEAD DITCH AND CULVERT IMPROVEMENTS,437576.810480185,2344.9503670755
138,7-024,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,SOUTHERN CANAL/LEAD DITCH AND CULVERT IMPROVEMENTS,437203.657042605,2343.95031306193
139,7-024,QUALITY PHYSICAL ENVIRONMENT,STORM WATER,PUBLIC WORKS,SOUTHERN CANAL/LEAD DITCH AND CULVERT IMPROVEMENTS,436919.033705105,2343.18723380433
140,6-092,QUALITY PHYSICAL ENVIRONMENT,SEWER UTILITY,PUBLIC UTILITIES,SANDBRIDGE VACUME VALVUE MONITORING SYSTEM,12507141.8196863,23800.0349536638
141,9-506,ECONOMIC VITALITY,ECONOMIC AND TOURISM,STRATEGIC GROWTH AREA,SENTARA WAY FLY OVER AND SOUTH PLAZA TRAIL IMPROVE,24207.37762316,1433.59756030988
142,9-504,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,GREENWICH NEWTOWN CONNECTION,15392.768335085,1328.0770835814
143,8-110,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,EASTERN BRANCH LYNNHAVEN RIVER DREDGING,226567.645693675,19860.8696752758
144,4-522,CULTURAL AND RECREATIONAL OPPORTUNITIES,PARKS AND RECREATION,PARKS AND RECREATION,THALIA CREEK GREENWAY TRAIL GRANT,203866.68770125,10165.2167274122
145,4-509,CULTURAL AND RECREATIONAL OPPORTUNITIES,PARKS AND RECREATION,PARKS AND RECREATION,MODERNIZATION OF KEMPSVILLE REC CENTER,145558.88002348,1654.76528430065
146,3-301,CULTURAL AND RECREATIONAL OPPORTUNITIES,BUILDINGS,PARKS AND RECREATION,FERRY PLANTATION HOUSE,1737.813563655,407.879939617757
147,4-502,CULTURAL AND RECREATIONAL OPPORTUNITIES,,PARKS AND RECREATION,LYNNHAVEN BOAT RAMP & BEACH FAC REPAIRS,44076.84984705,744.238032627511
148,9-082,ECONOMIC VITALITY,,PUBLIC WORKS,OCEANFRONT GARAGES CAPITAL MAINTENANCE,9543.90487652,416.926681687471
149,9-082,ECONOMIC VITALITY,,PUBLIC WORKS,OCEANFRONT GARAGES CAPITAL MAINTENANCE,11254.00347892,425.610269738758
150,8-008,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,BEACH REPLENISHMENT,2040515.64495647,24518.9273178612
151,8-503,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,CHESOPEIAN COLONY NEIGHBORHOOD DREDGING,93261.674874245,1756.8415566218
152,8-503,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,CHESOPEIAN COLONY NEIGHBORHOOD DREDGING,512518.107903185,8355.53126488191
153,8-503,QUALITY PHYSICAL ENVIRONMENT,COASTAL,PUBLIC WORKS,CHESOPEIAN COLONY NEIGHBORHOOD DREDGING,33617.203134305,1111.42485009583
154,9-008,ECONOMIC VITALITY,NEW FACILITY CONSTRUCTION,PLANNING,HISTORIC KEMPSVILLE,664904.184262775,4001.3482316036
155,3-028,CULTURAL AND RECREATIONAL OPPORTUNITIES,BUILDINGS,MUSEUMS,AQUARIUM MARSH PAVILION ENHANCMENTS,323947.43831074,4013.99519243227
156,2-046,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,CAVALIER DRIVE,15332.843711065,822.936795512695
157,2-047,QUALITY PHYSICAL ENVIRONMENT,ROADWAYS,PUBLIC WORKS,UPTON DR EXTENDED/ DAM NECK ROAD IMPROVEMENTS,24725.21652837,557.412490762114
