OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,CENSUSBLOCKGROUP,SHAPEarea,SHAPElen
58,51,810,046219,2,518100462192,Block Group 2,G5030,S,649801,0,+36.7713716,-076.1973867,0462192,1014646.05189481,4148.16044322776
59,51,810,045806,2,518100458062,Block Group 2,G5030,S,261275,0,+36.8163024,-076.1008533,0458062,408446.225634968,2720.62797350478
60,51,810,042000,1,518100420001,Block Group 1,G5030,S,2767720,1846860,+36.8845848,-076.0962119,0420001,7226331.16439444,12001.292441535
61,51,810,046006,4,518100460064,Block Group 4,G5030,S,1221963,0,+36.8195017,-076.1572854,0460064,1910438.46045517,6605.43179668311
62,51,810,046225,1,518100462251,Block Group 1,G5030,S,1292719,0,+36.7830321,-076.1296234,0462251,2019141.84496044,6214.25962501075
63,51,810,046213,2,518100462132,Block Group 2,G5030,S,218857,8783,+36.7877732,-076.1537095,0462132,355599.774815468,2455.1116892596
64,51,810,045803,1,518100458031,Block Group 1,G5030,S,402237,0,+36.8186741,-076.1244548,0458031,628849.784686026,3994.53233715967
65,51,810,046211,2,518100462112,Block Group 2,G5030,S,444586,0,+36.8051391,-076.1619752,0462112,694812.364442353,4374.55023411578
66,51,810,045407,4,518100454074,Block Group 4,G5030,S,7324045,44303,+36.8092753,-076.0635655,0454074,11517883.8311449,20594.361939973
36,51,810,041004,4,518100410044,Block Group 4,G5030,S,501566,0,+36.8518747,-076.1497133,0410044,784811.393503135,3581.48410096395
37,51,810,045414,1,518100454141,Block Group 1,G5030,S,683088,0,+36.8160654,-076.0929552,0454141,1067855.52786864,5792.3732798306
38,51,810,046216,1,518100462161,Block Group 1,G5030,S,1509413,0,+36.7721973,-076.1294029,0462161,2356945.14297662,6738.78986993502
39,51,810,046211,1,518100462111,Block Group 1,G5030,S,503155,0,+36.8093778,-076.1609762,0462111,786432.968205795,3797.26127540621
40,51,810,046222,4,518100462224,Block Group 4,G5030,S,831733,0,+36.7772887,-076.1730857,0462224,1299007.84692452,6604.28068095101
41,51,810,046214,4,518100462144,Block Group 4,G5030,S,296955,0,+36.7931051,-076.1470451,0462144,463944.771742657,3274.26523293118
42,51,810,045424,2,518100454242,Block Group 2,G5030,S,11080658,0,+36.7389581,-076.0101694,0454242,17287592.9653035,18322.3537704244
43,51,810,043002,1,518100430021,Block Group 1,G5030,S,3943148,2978977,+36.8925820,-076.0732222,0430021,10841946.0438459,14609.9326250415
44,51,810,045604,2,518100456042,Block Group 2,G5030,S,446127,0,+36.8363809,-076.1170698,0456042,697781.358044399,3987.69307190538
45,51,810,046217,1,518100462171,Block Group 1,G5030,S,399638,8083,+36.7647410,-076.1797740,0462171,636550.426560068,4292.03920541437
46,51,810,045805,1,518100458051,Block Group 1,G5030,S,634694,0,+36.8269154,-076.1014545,0458051,992477.21257389,4404.93189815429
47,51,810,045426,3,518100454263,Block Group 3,G5030,S,2882593,0,+36.7585067,-075.9841377,0454263,4499575.93840222,10121.5939376185
48,51,810,046400,4,518100464004,Block Group 4,G5030,S,82326998,5500155,+36.6043950,-076.0925095,0464004,136560528.777714,53258.2046669088
49,51,810,046207,1,518100462071,Block Group 1,G5030,S,1273402,344940,+36.7970230,-076.1876795,0462071,2528588.99182385,7792.29366348966
50,51,810,044003,2,518100440032,Block Group 2,G5030,S,1028051,192378,+36.8280630,-075.9710560,0440032,1908272.26408781,5975.29182790863
80,51,810,045426,1,518100454261,Block Group 1,G5030,S,1103537,0,+36.7785071,-075.9979402,0454261,1723455.82490252,5346.85301662181
81,51,810,046002,2,518100460022,Block Group 2,G5030,S,1145216,99259,+36.8191786,-076.1785836,0460022,1945662.32079992,10766.2389700288
82,51,810,046212,1,518100462121,Block Group 1,G5030,S,1090166,0,+36.7998562,-076.1382892,0462121,1703516.42711477,6046.87263658983
83,51,810,045809,2,518100458092,Block Group 2,G5030,S,344292,0,+36.8033937,-076.1032891,0458092,538048.313549725,3208.10356960636
84,51,810,045427,1,518100454271,Block Group 1,G5030,S,2313196,301764,+36.7677338,-075.9784588,0454271,4082848.06227236,9526.11723692848
85,51,810,040802,4,518100408024,Block Group 4,G5030,S,514045,0,+36.8587320,-076.1505661,0408024,804478.930348484,4376.0272531649
86,51,810,043003,2,518100430032,Block Group 2,G5030,S,238893,23211,+36.9091974,-076.0841175,0430032,410740.190822242,3787.30061283343
87,51,810,041003,2,518100410032,Block Group 2,G5030,S,317193,79551,+36.8604325,-076.1364510,0410032,620915.069481961,3347.76011182261
88,51,810,046006,3,518100460063,Block Group 3,G5030,S,832219,0,+36.8133196,-076.1534937,0460063,1300894.29328787,5557.15801693439
89,51,810,044402,1,518100444021,Block Group 1,G5030,S,1626630,28478,+36.8664248,-076.0367756,0444021,2591061.07925228,7251.44116049591
90,51,810,045408,4,518100454084,Block Group 4,G5030,S,5017407,0,+36.7795480,-076.0215367,0454084,7836161.71127528,13517.4488997494
91,51,810,046012,2,518100460122,Block Group 2,G5030,S,875781,0,+36.8008454,-076.1203935,0460122,1368545.61087477,6730.32213982903
92,51,810,045427,2,518100454272,Block Group 2,G5030,S,704346,0,+36.7827596,-075.9894362,0454272,1100132.84694859,5207.50024900504
67,51,810,041200,4,518100412004,Block Group 4,G5030,S,668760,7593,+36.8790287,-076.1358802,0412004,1059070.80313512,4320.89942624791
68,51,810,046220,1,518100462201,Block Group 1,G5030,S,1189057,17214,+36.8142825,-076.2138640,0462201,1885579.7782127,6011.48374996716
69,51,810,045420,2,518100454202,Block Group 2,G5030,S,919959,0,+36.7514839,-076.0033270,0454202,1435745.40467078,5237.02445781191
70,51,810,046211,4,518100462114,Block Group 4,G5030,S,569879,0,+36.8034228,-076.1689409,0462114,890582.299246189,3939.17068860445
71,51,810,041802,3,518100418023,Block Group 3,G5030,S,859429,16453,+36.8999336,-076.1280161,0418023,1372281.94519044,6012.26625595241
72,51,810,045425,1,518100454251,Block Group 1,G5030,S,864581,0,+36.7703257,-076.0052411,0454251,1349979.64810812,5177.75309990492
73,51,810,044807,2,518100448072,Block Group 2,G5030,S,430786,0,+36.8527506,-076.0385194,0448072,674075.808733476,4346.87335720684
74,51,810,046220,3,518100462203,Block Group 3,G5030,S,368116,0,+36.7998172,-076.2109103,0462203,575223.421447397,3371.02714254086
75,51,810,045604,3,518100456043,Block Group 3,G5030,S,1108358,0,+36.8366574,-076.1284408,0456043,1733597.49037441,5677.66466447651
76,51,810,045414,4,518100454144,Block Group 4,G5030,S,532091,0,+36.8073877,-076.0890474,0454144,831615.165382479,5032.38641249846
77,51,810,041600,4,518100416004,Block Group 4,G5030,S,1230664,668653,+36.8711062,-076.1189666,0416004,2973378.59691776,9729.07724779946
78,51,810,044001,4,518100440014,Block Group 4,G5030,S,327440,26343,+36.8515754,-076.0004851,0440014,553565.644637698,3495.16853220882
79,51,810,040404,3,518100404043,Block Group 3,G5030,S,288858,0,+36.8785326,-076.1780992,0404043,452295.898144046,3050.12605957915
108,51,810,045808,1,518100458081,Block Group 1,G5030,S,616128,0,+36.8133094,-076.1168096,0458081,963107.426367001,4842.16673299877
109,51,810,044001,2,518100440012,Block Group 2,G5030,S,681722,14978,+36.8549957,-075.9888245,0440012,1090223.37876376,4874.23338811916
110,51,810,045420,3,518100454203,Block Group 3,G5030,S,2772457,0,+36.7448960,-075.9844046,0454203,4326143.37148431,9155.3090275954
111,51,810,041004,2,518100410042,Block Group 2,G5030,S,228182,0,+36.8457060,-076.1394840,0410042,356985.279397084,2408.24400686003
112,51,810,045806,1,518100458061,Block Group 1,G5030,S,798826,0,+36.8221351,-076.1049659,0458061,1248979.93205557,4935.31643234839
113,51,810,046225,2,518100462252,Block Group 2,G5030,S,544771,0,+36.7797128,-076.1405995,0462252,850826.501243518,5251.19683297729
93,51,810,044001,3,518100440013,Block Group 3,G5030,S,249255,2618,+36.8490079,-075.9982521,0440013,394073.715031732,2882.95552097974
94,51,810,046002,1,518100460021,Block Group 1,G5030,S,1159128,11496,+36.8171337,-076.1731407,0460021,1830176.16279193,8939.83750244351
95,51,810,046219,1,518100462191,Block Group 1,G5030,S,689308,0,+36.7724738,-076.1921745,0462191,1076365.72703951,6044.88682525913
96,51,810,044808,3,518100448083,Block Group 3,G5030,S,651937,106250,+36.8425597,-076.0542314,0448083,1186085.70820363,5075.46666579087
97,51,810,046214,1,518100462141,Block Group 1,G5030,S,864102,0,+36.7934216,-076.1329188,0462141,1350034.56229068,7601.5893392495
98,51,810,045425,2,518100454252,Block Group 2,G5030,S,538087,0,+36.7648021,-076.0085624,0454252,840064.031305798,4798.7412286186
99,51,810,046009,3,518100460093,Block Group 3,G5030,S,555646,0,+36.8355281,-076.1771915,0460093,869063.429771928,4461.92085574163
100,51,810,045200,2,518100452002,Block Group 2,G5030,S,3563739,114900,+36.8038582,-075.9770843,0452002,5748927.86509123,11836.5811745569
101,51,810,046206,4,518100462064,Block Group 4,G5030,S,659497,0,+36.8093168,-076.1905988,0462064,1030795.21669846,4608.94638586775
102,51,810,045415,1,518100454151,Block Group 1,G5030,S,568783,0,+36.8160814,-076.0779035,0454151,889160.016446229,4190.85233122037
103,51,810,044600,4,518100446004,Block Group 4,G5030,S,1720217,182630,+36.8564467,-076.0156387,0446004,2977816.3547961,9412.40182883364
104,51,810,045422,2,518100454222,Block Group 2,G5030,S,1673242,0,+36.7767886,-076.0795901,0454222,2613077.18363175,8103.25531392602
105,51,810,043600,1,518100436001,Block Group 1,G5030,S,511317,0,+36.8828467,-075.9863327,0436001,800707.97355684,4834.76914587557
106,51,810,046221,3,518100462213,Block Group 3,G5030,S,344274,16329,+36.8058920,-076.2047130,0462213,563574.024539351,4115.74109798997
107,51,810,046213,4,518100462134,Block Group 4,G5030,S,355859,28944,+36.7927143,-076.1578918,0462134,601190.561829679,3254.81456958968
131,51,810,045407,3,518100454073,Block Group 3,G5030,S,591547,0,+36.8053673,-076.0744431,0454073,924492.06775697,4929.20089689286
132,51,810,044200,1,518100442001,Block Group 1,G5030,S,4242224,260609,+36.8300693,-076.0006122,0442001,7041118.88091262,14751.0096439164
133,51,810,045414,2,518100454142,Block Group 2,G5030,S,276535,0,+36.8137530,-076.0864615,0454142,432273.046237711,2861.91815781929
134,51,810,046223,2,518100462232,Block Group 2,G5030,S,419617,0,+36.7865637,-076.1763620,0462232,655477.568403415,4081.40778467363
135,51,810,041400,2,518100414002,Block Group 2,G5030,S,1239208,0,+36.8925645,-076.1350659,0414002,1941072.33219574,7304.63183268577
136,51,810,044401,3,518100444013,Block Group 3,G5030,S,1195830,70858,+36.8600286,-076.0541872,0444013,1982417.32213192,5836.19944470912
137,51,810,046220,2,518100462202,Block Group 2,G5030,S,670576,0,+36.8059927,-076.2112331,0462202,1048023.82994082,6625.5455533784
138,51,810,040600,2,518100406002,Block Group 2,G5030,S,932228,0,+36.8525019,-076.1629572,0406002,1458705.66295606,6407.79079089371
139,51,810,042801,4,518100428014,Block Group 4,G5030,S,993911,0,+36.8211826,-076.0885713,0428014,1553963.72657898,5915.58681766722
140,51,810,046012,4,518100460124,Block Group 4,G5030,S,179591,0,+36.7982865,-076.1181366,0460124,280621.259654356,3057.75906229102
141,51,810,045801,1,518100458011,Block Group 1,G5030,S,1329426,0,+36.8327697,-076.1044779,0458011,2079154.08406721,7253.64977069013
114,51,810,046222,3,518100462223,Block Group 3,G5030,S,297636,0,+36.7825725,-076.1681179,0462223,464885.065215738,2764.42769517033
115,51,810,042400,3,518100424003,Block Group 3,G5030,S,648996,0,+36.8431273,-076.1051246,0424003,1015271.61891156,4266.26582701711
116,51,810,045423,2,518100454232,Block Group 2,G5030,S,13382781,53266,+36.7499473,-076.0887653,0454232,20968375.9547363,25543.5454650747
117,51,810,044806,2,518100448062,Block Group 2,G5030,S,798886,0,+36.8404606,-076.0122059,0448062,1249669.04651035,6412.55118158055
118,51,810,045423,1,518100454231,Block Group 1,G5030,S,18158168,1008804,+36.7118056,-076.0725528,0454231,29883118.1650231,27628.9711978498
119,51,810,044600,1,518100446001,Block Group 1,G5030,S,2207004,1019459,+36.8876676,-076.0293488,0446001,5053292.92337831,9341.80886666882
120,51,810,044402,2,518100444022,Block Group 2,G5030,S,385484,0,+36.8622695,-076.0317775,0444022,603336.783472983,3337.42588557777
121,51,810,041802,4,518100418024,Block Group 4,G5030,S,1556828,729646,+36.9137803,-076.1272705,0418024,3584474.80580251,12965.7545705705
122,51,810,046006,1,518100460061,Block Group 1,G5030,S,496540,0,+36.8063851,-076.1402694,0460061,776034.021579878,3663.37094086094
123,51,810,044003,5,518100440035,Block Group 5,G5030,S,278469,134193,+36.8342544,-075.9754937,0440035,645400.960101182,3369.62822348698
124,51,810,045415,2,518100454152,Block Group 2,G5030,S,367271,0,+36.8099656,-076.0777274,0454152,574053.675411886,4192.2458914758
125,51,810,040403,3,518100404033,Block Group 3,G5030,S,951222,151354,+36.8979322,-076.1755192,0404033,1727094.8852717,8212.54895034128
126,51,810,046206,1,518100462061,Block Group 1,G5030,S,256880,0,+36.8115714,-076.1690683,0462061,401528.047435891,3165.14156266687
127,51,810,046221,2,518100462212,Block Group 2,G5030,S,239393,0,+36.8069274,-076.2011149,0462212,374149.851549512,2770.5023984542
128,51,810,042801,2,518100428012,Block Group 2,G5030,S,371440,0,+36.8309962,-076.0856587,0428012,580887.053671829,3549.11181089732
129,51,810,044401,1,518100444011,Block Group 1,G5030,S,1288781,732967,+36.8677592,-076.0658422,0444011,3164669.99506448,7775.04581206412
130,51,810,045406,3,518100454063,Block Group 3,G5030,S,477799,0,+36.7965553,-076.0791693,0454063,746553.157282024,4265.25499560934
154,51,810,045417,2,518100454172,Block Group 2,G5030,S,1407809,0,+36.7730888,-076.0393374,0454172,2198344.05710649,7031.3482981394
155,51,810,045417,3,518100454173,Block Group 3,G5030,S,704448,0,+36.7695979,-076.0248787,0454173,1099918.82103056,7046.28351641407
156,51,810,045405,5,518100454055,Block Group 5,G5030,S,208047,0,+36.8041052,-076.0970254,0454055,325132.428327332,2777.66221560979
157,51,810,043200,1,518100432001,Block Group 1,G5030,S,17718903,898049,+36.9044919,-076.0171713,0432001,29175160.853555,24165.2731255047
158,51,810,046013,3,518100460133,Block Group 3,G5030,S,238455,0,+36.7928957,-076.1015342,0460133,372548.168404446,2584.5943883407
159,51,810,041002,1,518100410021,Block Group 1,G5030,S,980371,0,+36.8401959,-076.1433741,0410021,1533546.71973398,5146.55493074029
160,51,810,046005,2,518100460052,Block Group 2,G5030,S,1400884,0,+36.8237307,-076.1415137,0460052,2190403.35725251,6271.3482614537
161,51,810,040801,1,518100408011,Block Group 1,G5030,S,354439,0,+36.8703120,-076.1353417,0408011,554867.925170376,3491.13586125946
162,51,810,041003,4,518100410034,Block Group 4,G5030,S,563378,0,+36.8495723,-076.1342757,0410034,881478.780212694,5545.19647298887
163,51,810,040802,1,518100408021,Block Group 1,G5030,S,270574,0,+36.8659421,-076.1480396,0408021,423532.432776417,3486.8327199697
164,51,810,044004,1,518100440041,Block Group 1,G5030,S,798702,0,+36.8479070,-075.9796010,0440041,1249615.70364244,4768.26888765388
165,51,810,040403,1,518100404031,Block Group 1,G5030,S,166780,104598,+36.9049270,-076.1743746,0404031,425223.112513823,3312.875127485
166,51,810,044001,1,518100440011,Block Group 1,G5030,S,346815,0,+36.8494296,-075.9905825,0440011,542636.223252441,3481.94129654839
167,51,810,044600,3,518100446003,Block Group 3,G5030,S,1583398,934635,+36.8625457,-076.0024530,0446003,3941055.58560617,8789.66846903048
168,51,810,045809,3,518100458093,Block Group 3,G5030,S,1022092,0,+36.8095847,-076.1100468,0458093,1597544.08723475,6962.82598560766
142,51,810,046206,3,518100462063,Block Group 3,G5030,S,618635,0,+36.8107179,-076.1744181,0462063,966960.633950236,5334.07135942238
143,51,810,046214,3,518100462143,Block Group 3,G5030,S,485256,0,+36.7896717,-076.1435630,0462143,758071.14726309,4598.68067261009
144,51,810,045603,1,518100456031,Block Group 1,G5030,S,417653,0,+36.8412725,-076.1186570,0456031,653335.932539496,4537.57881006397
145,51,810,041200,2,518100412002,Block Group 2,G5030,S,2210699,472509,+36.8896843,-076.1487529,0412002,4202579.24873295,8930.20758971515
146,51,810,041003,3,518100410033,Block Group 3,G5030,S,849771,111603,+36.8506540,-076.1293660,0410033,1504213.99582233,6757.46747167648
147,51,810,045417,4,518100454174,Block Group 4,G5030,S,3827684,0,+36.7629185,-076.0335129,0454174,5975493.63160737,15473.3354708014
148,51,810,040403,2,518100404032,Block Group 2,G5030,S,831368,313635,+36.8973185,-076.1713180,0404032,1793790.17931223,7069.83077280685
149,51,810,046221,1,518100462211,Block Group 1,G5030,S,561296,0,+36.8012667,-076.2032884,0462211,877125.984358136,6606.38829785719
150,51,810,042801,5,518100428015,Block Group 5,G5030,S,462130,0,+36.8278363,-076.0917161,0428015,722655.028714679,3443.32845789733
151,51,810,042202,1,518100422021,Block Group 1,G5030,S,1256096,294967,+36.8602975,-076.0792067,0422021,2427481.47298363,8591.48237027146
152,51,810,045427,4,518100454274,Block Group 4,G5030,S,544799,16531,+36.7759784,-075.9744634,0454274,876606.072463829,4869.50711435126
153,51,810,046204,1,518100462041,Block Group 1,G5030,S,2632737,314670,+36.8167572,-076.2013167,0462041,4608168.50580657,10075.8614559591
186,51,810,044402,4,518100444024,Block Group 4,G5030,S,589655,0,+36.8621660,-076.0447155,0444024,922851.301769542,6491.35068484331
187,51,810,046225,3,518100462253,Block Group 3,G5030,S,918963,0,+36.7843544,-076.1427191,0462253,1435409.76942551,5922.75725387727
188,51,810,042400,4,518100424004,Block Group 4,G5030,S,762859,105045,+36.8474969,-076.1038147,0424004,1357940.96000477,5247.29010234494
189,51,810,044807,3,518100448073,Block Group 3,G5030,S,570619,24087,+36.8485100,-076.0400664,0448073,930478.118438437,5306.17961280304
190,51,810,046002,4,518100460024,Block Group 4,G5030,S,1268937,166545,+36.8222189,-076.1906081,0460024,2244439.94003731,7432.89944791202
191,51,810,045604,1,518100456041,Block Group 1,G5030,S,668040,0,+36.8375390,-076.1074038,0456041,1044909.15171867,6038.58918851243
192,51,810,045808,2,518100458082,Block Group 2,G5030,S,289336,0,+36.8128840,-076.1212541,0458082,452276.05118386,2690.44533936049
193,51,810,044808,2,518100448082,Block Group 2,G5030,S,283511,0,+36.8485750,-076.0504386,0448082,443581.302587849,3218.75740379997
194,51,810,045423,3,518100454233,Block Group 3,G5030,S,9199107,0,+36.7353769,-076.0587634,0454233,14350727.0495955,19129.5482204045
195,51,810,045200,1,518100452001,Block Group 1,G5030,S,2388355,244143,+36.8171343,-075.9775138,0452001,4115203.60199791,11730.4126553978
196,51,810,042201,3,518100422013,Block Group 3,G5030,S,781244,295652,+36.8650883,-076.1082858,0422013,1685654.17409204,6000.09548865977
197,51,810,042000,2,518100420002,Block Group 2,G5030,S,1852463,1433121,+36.8806434,-076.0804168,0420002,5144807.57257033,11566.0622868912
198,51,810,042202,3,518100422023,Block Group 3,G5030,S,570678,0,+36.8448116,-076.0859734,0422023,892788.036051394,4079.06543107827
199,51,810,040200,3,518100402003,Block Group 3,G5030,S,217976,0,+36.8619464,-076.1791061,0402003,341161.144841189,2955.58778265086
169,51,810,045421,2,518100454212,Block Group 2,G5030,S,2325849,0,+36.7818080,-076.0700018,0454212,3632717.73470305,9555.53485313882
170,51,810,042201,1,518100422011,Block Group 1,G5030,S,815333,57821,+36.8648655,-076.0932817,0422011,1366708.30355735,4896.29233516153
171,51,810,046224,2,518100462242,Block Group 2,G5030,S,525845,0,+36.7753947,-076.1502813,0462242,821174.618960789,4120.1825388627
172,51,810,045807,1,518100458071,Block Group 1,G5030,S,380977,0,+36.8195099,-076.1149033,0458071,595623.631512095,2996.63138915906
173,51,810,041802,2,518100418022,Block Group 2,G5030,S,820785,663655,+36.9026593,-076.0984664,0418022,2325848.99376429,6523.38309806924
174,51,810,046013,1,518100460131,Block Group 1,G5030,S,822713,0,+36.7912599,-076.1095705,0460131,1285303.34704842,8672.52041143167
175,51,810,045406,4,518100454064,Block Group 4,G5030,S,2605771,63376,+36.7857692,-076.0892525,0454064,4169298.33759081,10392.5307854143
176,51,810,046400,3,518100464003,Block Group 3,G5030,S,33025916,1806503,+36.6304894,-076.0436236,0464003,54210956.3845582,40430.3815843481
177,51,810,045406,2,518100454062,Block Group 2,G5030,S,345639,0,+36.7975804,-076.0739140,0454062,540068.038665569,3274.81327752705
178,51,810,043003,3,518100430033,Block Group 3,G5030,S,765819,391665,+36.9065380,-076.0789647,0430033,1813698.89750725,7383.7745355698
179,51,810,046009,4,518100460094,Block Group 4,G5030,S,822191,199663,+36.8272625,-076.1775500,0460094,1597921.95982804,5979.75175549308
180,51,810,045601,1,518100456011,Block Group 1,G5030,S,1227538,580208,+36.8529200,-076.1159101,0456011,2828770.55175392,9169.4519636377
181,51,810,040402,3,518100404023,Block Group 3,G5030,S,302422,0,+36.8704610,-076.1729095,0404023,473415.476034007,4424.98715768287
182,51,810,046400,2,518100464002,Block Group 2,G5030,S,36122482,49817808,+36.5744032,-075.9568982,0464002,133554501.153514,51486.7055323851
183,51,810,042202,2,518100422022,Block Group 2,G5030,S,1629133,490796,+36.8535911,-076.0740508,0422022,3317187.53457941,7914.41844539605
184,51,810,042000,3,518100420003,Block Group 3,G5030,S,1135937,266775,+36.8696795,-076.0819926,0420003,2195904.34775718,6647.45118114379
185,51,810,040402,4,518100404024,Block Group 4,G5030,S,226093,0,+36.8697656,-076.1782397,0404024,353937.66410933,2504.36312421949
213,51,810,045426,2,518100454262,Block Group 2,G5030,S,1160686,0,+36.7701882,-075.9949590,0454262,1812319.46658784,8137.17466512298
