name,styleUrl,styleHash,Contact Names,Phone,lon,lat
Arlington Fairfax Chapter of the Izaak Walton League of America,#0,5541b804,Colin Riley,703-200-3994,-77.456937303344,38.818917159941
Arlington Outdoor Education Association,#0,5541b804,Neil Heinekamp,703-228-7650,-77.817312796329,38.718944158247
Arlington Science Focus School,#0,5541b804,Mary Begley,703-228-7670,-77.102271173208,38.890072705835
Arlingtonians for a Clean Environment,#0,5541b804,Eleanor Hodges,703-228-6427,-77.087103358006,38.834462385029
Arthur Ashe Elementary School (VaN School),#0,5541b804,Kecia Lipscomb,804-343-6550,-77.364140140977,37.571864517375
Ashland Elementary School,#0,5541b804,"Teresa Mullins, Science Teacher",(703) 583-8774,-77.394162904754,38.623068484861
Atlee High School,#0,5541b804,Jennifer Cohodas,804-723-2100,-77.410020397453,37.664462970784
Auburn Middle School,#0,5541b804,Jennifer Davis,540-422-7410,-77.716516356685,38.737849042831
Auburnlea Farm,#0,5541b804,Mary Bennett,804-380-1568,-79.026278665543,37.146557031122
Audubon Society of Northern Virginia (Annandale),#0,5541b804,Bruce Johnson,703-438-6008,-77.330731624789,38.951610669234
Augusta County for Litter Prevention and Recycling,#0,5541b804,Candy Hensley,540-245-5615,-79.008360799817,38.202076426304
Augusta County Public Schools,#0,5541b804,Jenny Groh,540-245-5120,-78.98946326349,38.117968625763
Augusta County Service Authority,#0,5541b804,,540-245-5670,-79.008360245494,38.202076937009
Averett University (Biology/Environmental Science),#0,5541b804,James  Caldwell,434-791-5766,-79.412899226204,36.577024359249
Axton Elementary School,#0,5541b804,Jo Ellen Hylton,276-650-1193,-79.714344610767,36.639134463955
Aylett Country Day School,#0,5541b804,Robin D. Taylor,804-443-3214,-76.941135591775,37.806764499044
B.C. Charles Elementary School (VaN School),#0,5541b804,Reggie Alston,757-886-7750,-76.534616882725,37.092865812344
Back Bay National Wildlife Refuge,#0,5541b804,Mary Tilton,757-619-6429,-75.987091877898,36.725689355616
Bacon District Elementary School,#0,5541b804,Sylvia Lockett,434-735-8612,-78.570966587263,36.886365867851
Banshee Reeks Nature Preserve,#0,5541b804,Ron Circe,703-669-0316,-77.599694699613,39.028023595598
Battery Park,#0,5541b804,Karen Wylie,804-646-0954,-77.441501457237,37.568915729335
Bayside Elementary School,#0,5541b804,Catherine Brumm,757-648-2080,-76.179265666737,36.895801062484
Bayside Middle School,#0,5541b804,Jackie Blackwell,757-648-4127,-76.159315930713,36.867454610561
Baywood Elementary School,#0,5541b804,Susie Funk,276-773-2832,-81.146244043538,36.622278262377
Beagle Ridge Herb Farm & Environmental Education Center,#0,5541b804,Ellen Reynolds,276-621-4511,-81.127959052568,36.867934126482
Bear Mountain Farm and Wilderness Retreat,#0,5541b804,,540-468-2700,-79.580600017257,38.412345640604
Bear Path Acres,#0,5541b804,Debbie Jeter,757-516-8774,-76.966401997787,36.545150539262
Beaverdam Elementary School (VaN School),#0,5541b804,"Charles Joseph, III",804-449-6373,-77.642613739018,37.934158137749
Beaverdam Park,#0,5541b804,Chris Smith,804-693-2786,-76.534832373674,37.448585854994
Beaverwood Lake Association,#0,5541b804,Walter Goodrich,,-78.185756911458,37.931617632572
Bedford City Public Works - Keep Bedford Beautiful Commission,#0,5541b804,D. W. Lawhorne,540-587-6083,-79.521043090815,37.334585734165
Bedford County Department of Solid Waste,#0,5541b804,Vicki Esposito,540-586-7656,-79.522821601868,37.333936254483
Bedford County Public Schools,#0,5541b804,"Scott Graham, Science Lead",540.586.1045,-79.524719219008,37.331622007235
Belfield Elementary School,#0,5541b804,Alicia hargrove,434-634-6048,-77.543111857894,36.688257179694
Belle Heth Elementary School,#0,5541b804,Eric L. Bucey,540-633-6270,-80.557299564468,37.132194671251
Belle Isle State Park,#0,5541b804,Charlene Talcott,804-462-5030,-76.582973994831,37.781302912865
Belle View Elementary School,#0,5541b804,Carolyn Bush,703-660-8300,-77.061344318503,38.772529984259
Berkeley Glen Elementary School,#0,5541b804,Michael Freeman,540-946-4680,-78.898815509295,38.055570799988
Berkeley Middle School,#0,5541b804,Karen M. Swann,757-229-8051,-76.738832035471,37.274583671347
Bessie Weller Elementary School,#0,5541b804,Chris Bryant,540-332-3940,-79.070852653537,38.139209718477
Bethel Roots & Shoots Club,#0,5541b804,,(703) 779-7745,-77.558565199179,39.207032309439
Better World Betty,#0,5541b804,Teri Kent,4344665157,-78.488914777922,38.025492546861
Bettie F. Williams Elementary School,#0,5541b804,Wendy Bennett Singleton,757-648-4080,-76.163134132035,36.86304496758
Bettie Weaver Elementary School,#0,5541b804,Dr. Holly B. Richard,804-378-2540,-77.652126616067,37.548996629162
Beverly Manor Elementary School,#0,5541b804,Dawn Young,540-885-8024,-79.120205290089,38.147675745238
Big Island Elementary School,#0,5541b804,Barbara Rezzonico,540-586-1045,-79.524719347893,37.331619518007
Big Walker Lookout,#0,5541b804,,276-663-4016,-81.195261669752,36.994662873222
Big Walker Soil and Water Conservation District,#0,5541b804,Rachel Havens,,-81.055592330333,36.952476505715
Bike Virginia,#0,5541b804,Kristine,757-229-0507,-77.425593728334,37.533057120154
Bishop Sullivan Catholic High School,#0,5541b804,Carol Stapanowich,757.467.2881,-76.133312633673,36.809845534022
Blacksburg High School,#0,5541b804,Wesley Gwaltney,540-951-5706,-80.459395890654,37.21180428198
Blue Ridge Center for Environmental Stewardship,#0,5541b804,Ashley Oliver,540-668-7640,-77.721098563501,39.293595510833
Blue Ridge Community College,#0,5541b804,Susie Shomo,540-234-9261,-78.940487577856,38.281953022852
Blue Ridge Eco Shop,#0,5541b804,Paige Mattson,434-296-0042,-78.479546383982,38.030434956313
Blue Ridge Environmental Network,#0,5541b804,Bill Modica,540-387-2782,-80.031878552169,37.316032782745
Blue Ridge Middle School,#0,5541b804,Brion Bell,540-751-2520,-77.707308787668,39.128357550843
Blue Ridge Outdoors Magazine,#0,5541b804,Blake DeMaso,434-817-2755,-78.481512122728,38.03224047054
Blue Ridge Public Television,#0,5541b804,Linda Pharis,(540)344-0991,-79.977114280296,37.248449563788
"Blue Ridge Wildflower Society, The",#0,5541b804,Cindy Burkes,(540) 977-0868,-79.993385502678,37.260969720837
Blue Ridge Wildlife Center,#0,5541b804,Belinda Burwell,540-837-9000,-78.004671166013,39.054392504751
Blue Sky Fund,#0,5541b804,Lawson Wijesooriya,804-415-8782,-77.404354846663,37.517227808597
Bluebird  Gap Farm,#0,5541b804,Jim Seward,757.827.2765,-76.388919029209,37.035062757892
Bluestone High School,#0,5541b804,Christina Seay,434-372-5177,-78.495432330408,36.705980187786
Boiling Spring Elementary School,#0,5541b804,Amy Dew,540-965-1817,-80.092266713651,37.688231035139
Booker T. Washington Middle School,#0,5541b804,Deborah L. Fields,757-928-6860 ext. 1104,-76.410340460468,36.995380048504
Boonsboro Elementary School (VaN School),#0,5541b804,Beth Williams,434-384-2881,-79.260981597824,37.451094315499
Botetourt County  - Environmental Management,#0,5541b804,Ronald Smith,540-473-8316,-79.807758722364,37.550947171663
"Bowling Green, Town - Public Works",#0,5541b804,William Stanley,804-633-6212,-77.344792057393,38.05123242544
Boxerwood Nature Center and Woodland Garden,#0,5541b804,Elsie Sheffield,540-463-2697,-79.458459089139,37.77822150109
Brethren Woods Camp & Retreat Center,#0,5541b804,,540-269-2741,-78.727661291441,38.488708959202
Brighton Elementary School,#0,5541b804,Barbara Walker,757-393-8870,-76.310844320035,36.820140650004
Broadlands Naturally,#0,5541b804,Oya Simpson,703-725-8040,-77.513793268638,39.010297138126
Broadwater Academy,#0,5541b804,Joseph Spagnolo,757-442-9041,-75.847849280342,37.52872241214
Broadway High School,#0,5541b804,Russell Kohrs,540-896-7081,-78.794743622713,38.60559346453
Brook Road Academy,#0,5541b804,Sarah Croscutt,(804) 553-3226,-77.462152108569,37.634038257356
Browne Academy,#0,5541b804,Mike Sasso,703-960-3000 ext. 1039,-77.083802393624,38.788954538336
Brunswick County Litter Control Committee,#0,5541b804,Ella Ridley,434-848-3562,-77.783832045986,36.811474757389
Buchanan County Litter Enforcement and Recycling,#0,5541b804,Jerry Ward,276-935-6106,-82.096702871536,37.277190273624
Buckingham County Solid Waste,#0,5541b804,Carolyn Amos,434-969-4242,-77.565829726171,39.100378709481
Buckingham Primary School,#0,5541b804,Heather Page,434-983-2861,-78.511058055239,37.541318177475
Buena Vista City Public Schools,#0,5541b804,Mary Holm,540-261-2129,-79.350877698602,37.736616003937
"Bull Run Mountains Conservancy, Inc.",#0,5541b804,Michele Thieme,703-753-2631,-77.705558384847,38.824626434893
Butterflies in Flight,#0,5541b804,Catherine Short,804 843-3723,-76.803829230402,37.561246716231
Byrd Elementary School,#0,5541b804,Mr. James Hopkins,804-556-5380,-78.05783895063,37.757418981324
C.C. Wells Elementary School,#0,5541b804,"Virginia C. Patterson, Principal",804-768-6265,-77.43946969426,37.335885495104
"Cabell Brand Center for Global Poverty and Resource Sustainability Studies, The",#0,5541b804,Dr. Tamim Younos,540-375-6750,-80.069110815584,37.291971738202
Cacapon Institute,#0,5541b804,"Frank Rodgers, Education and Outreach",304-856-1385,-78.463823408134,39.191442665155
Camp Alta Mons,#0,5541b804,Jason Masching,540-268-2409,-80.250706118807,37.096046237179
Camp Chanco on the James,#0,5541b804,Jim Sitzler,757-294-3012 ,-76.90018644373,37.196858365781
Camp E. W. Young (Norfolk Public Schools) -VaN School),#0,5541b804,Kathleen Nowitzky ,757-547-4245,-76.27814985001,36.728750765104
Camp Friendship Environmental Education,#0,5541b804,,434-589-8950,-78.264731165854,37.885324807838
Camp Glenkirk,#0,5541b804,Cheryl Hartman,(703) 754-0126,-77.612766302489,38.77401582456
Camp Hanover,#0,5541b804,,804-779-2811,-77.207630803613,37.606799645279
Camp Holiday Trails,#0,5541b804,Ashleigh Suthers,434-977-3781,-78.562211522614,38.023151023656
Camp Horizons,#0,5541b804,,(540)-896-7600,-78.716890687049,38.514026431027
Camp Kum-Ba-Yah,#0,5541b804,Linda Irwin,434-384-1755,-79.207796178382,37.44253678402
Campbell County Litter/Recycling Program,#0,5541b804,Diane Dodd,434-821-7125,-79.157128609162,37.27992755473
Canaan Valley Institute,#0,5541b804,Vicki Fenwick,(304) 259-4739,-79.429582467832,39.145721587348
Capital Region Earth Force,#0,5541b804,Kurt Moser,703-838-9074,-77.119225893391,38.83438404456
"Capital Region Land Conservancy, Inc.",#0,5541b804,Tara Quinn,804-301-5352,-77.521811080123,37.573560268575
Carlin Springs Elementary School,#0,5541b804,Anne VorderBruegge,703-228-8409,-77.085349660502,38.886523156063
Caroline Furnace Lutheran Camp & Retreat Center,#0,5541b804,Wayne Shelor,540-933-6266,-78.510766207774,38.749103707679
Caroline Middle School,#0,5541b804,Dolly G. Lindsay,804-633-5088,-77.342150796428,38.038994468144
Carroll County Intermediate School,#0,5541b804,Linda M. Dalton,276-728-3191,-80.736937688115,36.768798472309
Carroll County Litter and Reycling,#0,5541b804,Trish Hash,276.730.3015,-80.736833523986,36.768669159576
Cashell Donahoe Elementary School (VaN School),#0,5541b804,"J. Koontz, Principal",804-328-4035,-77.293499825202,37.537512719908
Castlewood High School,#0,5541b804,"Laymon Kiser ""Butch",276-762-9449,-82.27958397652,36.890107848992
Center for Rural Culture,#0,5541b804,,804-878-2166  ,-77.886571910449,37.686899880653
"Center for Watershed Protection, Inc.",#0,5541b804,Hye Yeong Kwon,410-461-8323,-76.800487960376,39.268739447159
Central Elementary School,#0,5541b804,Donna Davis,540-821-5227,-79.474820720973,37.846924811514
Central High School (Shenandoah County),#0,5541b804,Melissa D. Hensley,540-459-2161,-78.52271587572,38.867313992375
Central Middle School,#0,5541b804,Carolyn M. Baker,434-542-5151,-78.635958629157,37.052821336908
Central Shenandoah Planning District Commission,#0,5541b804,Bonnie Riedesel,540-885-5174,-79.057551941609,38.168192118177
Central Virginia Land Conservancy (CVLC)-Region 2000 and Nelson,#0,5541b804,Jeff Smith,434-942-4320,-79.204423305145,37.437608672891
Central Virginia Waste Management Authority(CVWMA),#0,5541b804,Nancy Drumheller,804-359-8413,-77.471713541324,37.584630637101
Centreville High School (CVHS),#0,5541b804,Jean Cole-Kleitz,703-802-5497,-77.410643936,38.8252520695
Chancellor Elementary School,#0,5541b804,Shawn Hudson,540-786-6123,-77.581436167822,38.293879715055
Charles City Clean Community Commission,#0,5541b804,Denise Williams & John Bragg,804-652-4707,-77.075699421,37.340213999818
Charles City County Dept. of Development,#0,5541b804,John Bragg,804-652-4707,-77.075703606825,37.340211357959
Charlotte County Litter Prevention and Recycling,#0,5541b804,Susan Adams,434-542-5117,-78.635958632013,37.052823774539
Chase City Elementary School,#0,5541b804,Frederick Taylor,804-372-4770,-78.468656246392,36.81641623559
"Chesapeake Bay Foundation, Virginia State Office",#0,5541b804,Bill Portlock,512-4536,-77.433993351171,37.537134467225
Chesapeake Bay Governor's School for Marine and Environmental Science,#0,5541b804,Dianne Pollard,804-443-0267,-76.862433346959,37.930461127168
"Chesapeake Environmental Improvement Council, City of Chesapeake",#0,5541b804,Gladys Jones,757-382-6728,-76.245027815023,36.720557998185
Chesapeake Experience,#0,5541b804,Jill Bieri,757-890-0502,-76.452950144686,37.120309689035
Chesapeake Wildlife Heritage,#0,5541b804,Austin Jamison,434-825-7587,-76.068697705108,38.776943343798
Chesterfield Community High School,#0,5541b804,Susan Dandridge,804-594-1704,-77.501765193586,37.379875516839
Chesterfield County Cooperative Extension,#0,5541b804,Linda Jackson Cole,804-751-4401,-77.50631532937,37.377173613365
Chesterfield County Department of Environmental Engineering,#0,5541b804,Lorne Field,804-748-1920,-77.504862278251,37.380252002964
Chesterfield County Environmental Engineering,#0,5541b804,"Richard M. McElfish, PE",(804) 748-1035,-77.504864837098,37.380249866941
Chesterfield County Parks and Recreation,#0,5541b804,Mike Golden,804-748-1624,-77.506192649125,37.377045974512
Chesterfield County Waste and Resource Recovery,#0,5541b804,Pam Cooper,804-743-8346,-77.507750402033,37.376833535371
"Children's Museum of Richmond, Education",#0,5541b804,Claire Mehalick,804-474-7053,-77.467926446159,37.561666637972
"Children's Museum of Virginia, Education",#0,5541b804,,757-393-5258,-76.298836894062,36.834917547638
Chilhowie Elementary School,#0,5541b804,Lelia Rash,276-646-8220,-81.512874484238,36.833283353771
Chilhowie High School (VaN School),#0,5541b804,Mike Sturgill,276-646-8966,-81.674327439392,36.804710470864
Chincoteague Elementary School (VaN School),#0,5541b804,Karen Riner,757-336-5545,-75.358654575228,37.939777717227
Chincoteague National Wildlife Refuge,#0,5541b804,,757-336-6122,-75.345062542335,37.885489024736
Chippokes Plantation State Park,#0,5541b804,,757-294-3625,-76.740359456512,37.146275931991
Christiansburg Elementary School(VaN School) & Wildlife Club,#0,5541b804,Mrs. Burton,(540) 382-5100,-80.391581208844,37.130685444823
Christiansburg Middle School,#0,5541b804,Sherri Bolick,540-904-7401,-79.924100284835,37.257654827905
Churchland Academy Elementary School,#0,5541b804,Karen Clark,804-646-5659,-76.382548372666,36.881148038196
Churchland Primary & Intermediate School(VaN School),#0,5541b804,Cora Freeman,757-686-2519,-76.385079836834,36.890896297227
Churchville Elementary School,#0,5541b804,"Lori Cox, Elementary Science Curriculum Supervisor",540-337-6036,-79.160056079482,38.22249069997
Citizens for a Clean Lynchburg,#0,5541b804,Nels Erickson,434-401-5733 or 434-847-8788,-79.142557334037,37.414078001553
Citizens for Fauquier County,#0,5541b804,Mel Bearns,540-347-7610,-77.795267532638,38.713451740817
"City of Norfolk, Bureau of Environmental Services",#0,5541b804,Kevin R. Du Bois,757-621-2564,-76.285800280198,36.844508136293
Clarke County Natural Resource Planner,#0,5541b804,Alison Teetor,540-955-5134,-77.980344246068,39.152325413193
Claude Moore Park,#0,5541b804,"Merry Breed, Park Manager",571-258-3700,-77.429126562735,39.006700330392
Claytor Lake State Park,#0,5541b804,"The park offers swimming, camping, cabins, lodges, a meeting facility, nature and history programs, miles of hiking trails, and a visitor center.",540-643-2500,-80.622733785747,37.058846517995
Claytor Nature Study Center of Lynchburg College,#0,5541b804,Gregory Eaton,540-587-6740,-79.182926927638,37.400713106061
"Clean Fairfax Council, Inc.",#0,5541b804,Jennifer Cole,703-324-5471,-77.351651210514,39.03407352351
Clean Valley Council Inc.,#0,5541b804,Christina Siegel,540-345-5523,-79.95113188857,37.269853726606
Clean Virginia Waterways,#0,5541b804,Katie  Register,434-395-2602,-78.396171446335,37.301207735024
Clearbrook Elementary School (VaN School),#0,5541b804,Karen Pendleton,540-772-7555,-79.951568676033,37.204238619996
"Clinch Coalition, The",#0,5541b804,Christopher Clark,276-479-2176,-82.414592545082,36.752880616096
Clover Hill High School,#0,5541b804,Michelle Huber,(804) 639-4940,-77.640285771303,37.447718981647
Coles Elementary School,#0,5541b804,Kathryn Forgas,703-791-3141,-77.42945668962,38.657085581485
Colonial Trail Elementary School,#0,5541b804,"Phil Cantone, Principal",804-364-0055,-77.614227302483,37.660288831975
Community Development International (CDI),#0,5541b804,Kevin Jamison,7573733219,-76.029762911536,36.77661615691
Community Mediation Center of Norfolk VA,#0,5541b804,Chinedu Onyedike,757-480-2777x257,-76.259162006374,36.90591323257
Computer Recycling of Virginia,#0,5541b804,Lisa Parkhurst,804-445-9672,-76.86259048602,37.930720032242
"Conservation and Recreation (VA), Department of",#0,5541b804,Sheila Barnett,804-786-1815,-77.431619879982,37.537652849419
"Conservation Services, Inc.",#0,5541b804,,(540) 941-0067,-78.871666860459,38.074545622455
"Cooper Elementary Magnet School for Technology, William Mason (VaN School)",#0,5541b804,Shirley Spyolt,757-825-4645,-76.385431659366,37.05246639246
"Cora Kelly School for Math, Science and Technology",#0,5541b804,"Mr. Mark Walker, STEM Coordinator",703-706-4420,-77.057551859011,38.837417394592
Corporate Landing Middle School,#0,5541b804,Sherry Kelly,757-648-4500,-76.012443971107,36.787841357754
County of Spotsylvania Department of General Services,#0,5541b804,Clara Mills,540-507-7334,-77.497488684939,38.274050119191
Cousteau Society,#0,5541b804,Tarik Chekchak,(757) 523-9335,-76.2368618031,36.773444951952
Coventry Elementary School,#0,5541b804,Paula Sasin,757-898-0403,-76.440015515713,37.106154161083
Covington High School,#0,5541b804,Pat Braden,540-965-1400,-79.98683683644,37.787272588254
CRAIG COUNTY BEAUTIFICATION COMMITTEE,#0,5541b804,"SUZANNE HOLTH,",540-864-5010,-80.108267652877,37.503128237143
Crater Planning District Commission,#0,5541b804,Judith Smith,(804) 861-1666,-77.384537269066,37.202357508896
Creative Minds Publications,#0,5541b804,Katryn Starke,804.740.6010,-77.607789649453,37.629014937545
Crestview Elementary School,#0,5541b804,Cindy Harris,804-673-3775,-77.520137244444,37.600602211283
Crestwood Elementary School (VaN School),#0,5541b804,Lisa Rockwell,804-560-2710,-77.537060492094,37.526644732239
Culpeper County Litter Prevention Program,#0,5541b804,Jane Cresswell,540-727-3409,-77.99641007492,38.473411433182
Cumberland High School,#0,5541b804,Chip Jones,804-492-4724,-78.245342963491,37.496042465857
Cumberland Plateau Regional Waste Management Authority,#0,5541b804,Toby Edwards,276-889-1778,-82.114513119511,36.894070086971
Curtis Elementary School,#0,5541b804,Barbara Newton,804-768-6175,-77.433285252491,37.36123948189
Cyrus McCormick Farm,#0,5541b804,David Fiske,540-377-2255,-79.213369939761,37.931360223774
Damascus Middle School,#0,5541b804,Dixie Hunter,276-739-4100,-81.804641215155,36.639514410986
Dan River Middle School,#0,5541b804,Dr. Deborah Powell,434-432-8185,-79.393425614897,36.826163355353
Daniels Run Elementary School,#0,5541b804,Adam Erbrecht,703-279-8400,-77.295227719459,38.851974208365
"Danville Parks, Recreation - Ballou Nature Center & Outdoor Recreation",#0,5541b804,Karen Cross,434-799-5215,-79.421790948908,36.571666764973
"Danville Science Center, Science Museum of VA",#0,5541b804,Sonya Wolen,434-791-5160,-79.385434929589,36.584267831824
Deer Park Elementary School (VaN School),#0,5541b804,Mary Jo Anastatio,757-591-7470,-76.475532347267,37.071903298013
Deltaville Maritime Museum and Holly Point Nature Park,#0,5541b804,"James M. Mackey, III",804-776-7200,-76.326789102771,37.552864114481
Denizen Media,#0,5541b804,Beverly Pearce,540 877 9077,-78.262158779893,39.192356538932
Dickenson County Litter Control and Recycling Office,#0,5541b804,Eugene Mullins,276-835-8806,-82.455983982333,37.150108605362
Dillwyn Elementary School,#0,5541b804,Heather Page,434-983-2861,-78.511058879571,37.541315953241
Dillwyn Primary School,#0,5541b804,Heather Page,434-983-2861,-78.511059075159,37.541315926137
Dinwiddie County 4-H,#0,5541b804,Mike Parrish,804-469-4514,-77.586651951396,37.077932101482
Dirty Hands Garden Center,#0,5541b804,Claudia Swanson,804-598-8945,-77.823462899966,37.522515923724
Discovery Center - Blue Ridge Parkway (Top of Mill Mountain),#0,5541b804,,(540) 853-1236,-79.935412988961,37.249770816768
Dominion Christian School,#0,5541b804,Sharon Dykhoff,(703) 758-1055,-77.325372484816,38.905002586233
Dominion High School,#0,5541b804,Mary Young-Lutz,571-434-4400,-77.376234706828,39.026803578267
Douthat State Park Environmental Education Group,#0,5541b804,Ray Keen,540-862-8114,-79.695107878011,37.990070933597
Duffield Primary School,#0,5541b804,Tammy Quillen,276-386-6118,-82.57583400648,36.641110010073
E.B. Stanley Middle School,#0,5541b804,Charlene Gross,276-739-3300,-81.956080416024,36.724030194497
"E3 Summer Science Camp, Exploration and Enjoyment in the Env.",#0,5541b804,Ann Mallek,434-978-1150,-78.468064094296,38.167627888242
"Earth Sangha, Inc.",#0,5541b804,Chris Bright,703-764-4830,-77.298060665343,38.812686637588
Earth Space,#0,5541b804,"Nancy Striniste, MLD",703-532-0018,-77.142158065223,38.888374948324
Eastern Area Grounds for Learning Environmental Science (E.A.G.L.E.S.),#0,5541b804,Joy Greene,703-490-5162,-77.239186022132,38.657938637753
Eastern Shore Agricultural Research and Extension Center,#0,5541b804,Lauren Peyton Seltzer,757-414-0724,-75.821042354659,37.584585151561
Eastern Shore of Virginia Resource Conservation and Development Council,#0,5541b804,Sara Reiter,,-75.760024014297,37.650452627041
Eastern Shore of Virginia Tourism,#0,5541b804,Allan Burns,(757) 787-8268,-75.689161943718,37.716407189969
Eastern Virginia Rivers National Wildlife Refuge Complex,#0,5541b804,Joseph McCauley,804-333-1470,-76.869103705108,38.020384105164
Edgar Allen Poe Middle School,#0,5541b804,Dr. Mark Emery,571-423-1270,-77.22452357939,38.868104888874
"Education (VA), Department of",#0,5541b804,Barbara Young,804-371-0249,-77.42985624571,37.536641465836
Edward W. Wyatt Middle School,#0,5541b804,Alicia Hargrove,434-634-6048,-77.543108741212,36.688254000004
"Elizabeth River Project, The",#0,5541b804,Majorie Jackson,757-399-7487,-76.296213965879,36.836607732978
Elkton Middle School (VaN School),#0,5541b804,,540-298-1228,-78.608512549982,38.404691269086
Elmont Elementary School,#0,5541b804,Jimmy Johnson,804-365-8100,-77.507884828116,37.716508794713
Emerick Elementary School,#0,5541b804,Dawn Haddock,540-751-2440,-77.718910971606,39.130227908969
Emory & Henry College Environmental Studies,#0,5541b804,E. H.  Davis,540-944-6181,-81.826515699671,36.77342987331
Enrichmond,#0,5541b804,John Sydnor,804-646-0954,-77.427683920588,37.534343612586
Environment Virginia Symposium,#0,5541b804,Amy Dehart,(540) 464-7361,-79.440376020297,37.791126375648
"Environmental Alliance, Inc.",#0,5541b804,James Bernard,804-752-3558,-77.441279812746,37.69894139968
"Environmental Quality (VA), Department of",#0,5541b804,"Ann Regn, Director, VA Office of EE",804-698-4442,-77.438298360588,37.539246231493
"Environmental Services & Consulting, LLC",#0,5541b804,Stuart Lynde,540-550-0144,-80.396497055641,37.130903906995
"Environmental Solutions, Inc.",#0,5541b804,Brenda Robinson,804-416-1150,-77.317538576427,37.351634845809
Ettrick Elementary School,#0,5541b804,Kimberly Reynolds,804-594-1704,-77.501761397795,37.379878203743
Eureka Elementary School (Charlotte County),#0,5541b804,Andy Heintlzeman,434-736-8458,-78.553487069625,37.041297266524
Evergreen Elementary School (VaN School),#0,5541b804,Matt Maher,804-378-2400,-77.632992684158,37.464671042451
Fairfax County Park Authority,#0,5541b804,Harold L. Strickland,703-324-7329,-77.362777663019,38.855196600624
Fairfax County Park Foundation,#0,5541b804,Mr. Gerald Zavala,703-324-8532,-77.362779985397,38.855196839876
Fairview Elementary School (Grayson County),#0,5541b804,Susie Funk,276-773-2832,-81.146248390347,36.622277599137
Fairview Elementary School (Roanoke),#0,5541b804,Jonathan Pait,540-853-2859,-79.940050982443,37.283444423482
Fairy Stone State Park,#0,5541b804,Sam Jensen,276-930-2424,-80.125945786894,36.784773475502
Falling Creek Ironworks,#0,5541b804,Norma J. Corbin,804-379-1666,-77.483535595356,37.456816476074
Fauquier County Environmental Services,#0,5541b804,Davina Bratcher,540-422-8840,-77.783388146458,38.680706022049
