Jurisdiction,Route,Route Name,Crossing,Geotag,Type,Year Built,Year Reconstructed,Deck Condition,Superstructure Condition,Substructure Condition,Culvert Condition,Functionally Obsolete?,Structurally Deficient?,Last Inspected,Weight Limit Posted?,Responsibility,Structure Length (FT),Structure Width (FT),Avg Daily Traffic
Gloucester County,612,MARLFIELD ROAD,POPLAR SPRING BRANCH,"37.458052, -76.619918",Culvert,1989,N/A,N,N,N,7,No,No,7/9/2014,No,VDOT,18,57,298
Gloucester County,614,HICKORY FORK ROAD,CARTERS CREEK,"37.348483, -76.550770",Bridge,2006,N/A,7,7,8,N,No,No,7/15/2014,No,VDOT,495.1,42,5708
Gloucester County,616,BELEIGH RD.,FOX MILL RUN,"37.393392, -76.551649",Culvert,1958,N/A,N,N,N,6,No,No,7/9/2014,No,VDOT,21,48,5549
Gloucester County,616,ROARING SPRINGS RD,BEAVERDAM SWAMP,"37.426281, -76.529413",Bridge,1993,N/A,7,7,7,N,No,No,7/14/2014,No,VDOT,128,39.7,3030
Gloucester County,627,CUNNINGHAM LN.,WILSON CREEK,"37.376640, -76.486405",Bridge,1963,N/A,6,4,4,N,No,Yes,7/16/2014,Yes,VDOT,39,20,64
Gloucester County,636,PROVIDENCE RD.,TRIB. OF TIMBERNECK CK.,"37.311184, -76.525108",Culvert,1990,N/A,N,N,N,6,No,No,7/22/2014,No,VDOT,24.9,60,2170
Gloucester County,636,PROVIDENCE RD.,TIMBERNECK CREEK,"37.318761, -76.532125",Culvert,1990,N/A,N,N,N,7,No,No,7/22/2014,No,VDOT,37.1,90,693
Gloucester County,641,TIDEMILL RD.,NORTHWEST BR SARAH CREEK,"37.268335, -76.487514",Bridge,1974,N/A,6,4,5,N,No,Yes,7/29/2014,No,VDOT,202.1,34.1,3960
Gloucester County,652,ROWE'S POINT RD.,KING CREEK,"37.297882, -76.425497",Bridge,1932,2005,7,7,7,N,No,No,7/8/2014,No,VDOT,16.1,22.3,72
Gloucester County,662,ALLMONDSVILLE RD,FOX CREEK,"37.386739, -76.641969",Bridge,1937,N/A,7,4,5,N,No,Yes,7/30/2014,Yes,VDOT,92.8,20,108
Gloucester County,678,HARCUM RD.,CREEK,*,Culvert,1974,N/A,N,N,N,6,No,No,7/11/2011,No,VDOT,12.1,36,202
Hampton,167,CHESAPEAKE AVE.,INDIAN RIVER,"36.999487, -76.374118",Bridge,1985,N/A,7,7,5,N,No,No,7/21/2014,No,City,24.9,51.8,2706
Hampton,664,Rte 664,Railroad Spur,"36.99988, -76.406694",Bridge,1983,N/A,6,6,6,N,No,No,3/14/2014,No,VDOT,40,140.1,69739
Hampton,664,Rtye 664 Nb & Sb,CSX Railroad Spur,"36.999921, -76.406892",Bridge,1983,N/A,6,6,6,N,No,No,1/27/2014,No,VDOT,202.1,143.7,69739
Hampton,0,Powhatan Parkway,Indian River,"37.00011, -76.373571",Bridge,1929,1997,7,7,6,N,Yes,No,9/25/2013,No,City,25.9,23.3,841
Hampton,664,Rte 664 Nb/Sb,Aberdeen Road,"37.003839, -76.403199",Bridge,1983,N/A,6,6,6,N,No,No,2/6/2014,No,VDOT,244.1,119.8,69739
Hampton,64,IS 64 WBL HRT,Hampton Roads,"37.004101, -76.320428",Bridge,1957,1999,6,5,5,N,No,No,6/6/2013,No,VDOT,3251,45.9,40000
Hampton,64,IS 64 EBL,Hampton Roads,"37.004103, -76.319619",Bridge,1974,N/A,5,4,6,N,No,Yes,7/28/2014,No,VDOT,5925,44,43842
Hampton,64,IS 64 EBL,Hampton Roads,"37.007341, -76.321014",Bridge,1974,N/A,5,5,5,N,No,No,6/24/2013,No,VDOT,3225.1,44,43074
Hampton,64,IS 64 WBL HRT,Hampton Roads,"37.008899, -76.322059",Bridge,1957,1999,5,5,5,N,No,No,6/25/2013,No,VDOT,6150,46,46000
Hampton,143,MELLEN STREET,MILL CREEK,"37.013204, -76.317248",Bridge,1961,1982,5,5,6,N,Yes,No,7/23/2013,No,City,565.9,27.9,4600
Hampton,258,MERCURY BLVD.,MILL CREEK,"37.014265, -76.314425",Bridge,1989,N/A,7,7,6,N,Yes,No,7/22/2013,No,City,143,56.8,3174
Hampton,0,Mallory Street,Johns Creek,"37.015558, -76.328415",Culvert,1985,N/A,N,N,N,6,No,No,10/28/2013,No,City,41,198,3102
Hampton,0,Mallory Street,IS 64,"37.01594, -76.326995",Bridge,1985,N/A,7,6,6,N,No,No,10/29/2013,No,VDOT,241.1,58.1,13000
Hampton,0,Power Plant Pkwy,IS 664,"37.016223, -76.386398",Bridge,1983,N/A,6,5,6,N,No,No,3/4/2013,No,VDOT,233.9,97.1,14475
Hampton,64,Rte 64 Eb & Wb,Johns Creek,"37.016231, -76.327392",Culvert,1985,N/A,N,N,N,7,No,No,1/27/2014,No,VDOT,34.1,380,87684
Hampton,64,Rte 64 Wbl Ramp,Johns Creek,"37.016304, -76.327262",Culvert,1985,N/A,N,N,N,7,No,No,3/13/2014,No,VDOT,32.2,154,4310
Hampton,258,MERCURY BLVD.,MILL CREEK,"37.016526, -76.313953",Bridge,1989,N/A,7,7,7,N,Yes,No,7/22/2013,No,City,519,56.8,3164
Hampton,0,BIG BETHEL ROAD,NEWMARKET CREEK,"37.019355, -76.413844",Bridge,1970,N/A,6,6,7,N,No,No,8/25/2014,No,City,80.1,64.6,9140
Hampton,0,BRIDGE STREET,Salters Creek,"37.022944, -76.345085",Bridge,1934,1996,4,5,5,N,No,Yes,9/17/2014,Yes,City,229,30.5,2917
Hampton,0,ABERDEEN ROAD,NEWMARKET CREEK,"37.023311, -76.404558",Bridge,1981,N/A,5,5,6,N,No,No,8/25/2014,No,City,77.1,80.4,15001
Hampton,64,Rte 64,Route 60 & 143,"37.023675, -76.329607",Bridge,1987,N/A,6,6,6,N,No,No,3/20/2014,No,VDOT,256,113.8,93114
Hampton,415,QUEEN STREET,NEWMARKET CREEK,"37.023842, -76.375591",Bridge,1962,N/A,6,6,6,N,Yes,No,8/26/2014,No,City,80.1,55.4,15956
Hampton,664,Rte 664 Nb/Sb,Queen Street,"37.02507, -76.379745",Bridge,1982,N/A,6,7,7,N,No,No,3/21/2014,No,VDOT,166,132.5,76725
Hampton,60,Settlers Lndg. Rd.,Hampton River,"37.025722, -76.338583",Bridge,1985,N/A,7,6,5,N,No,No,8/27/2013,No,City,1355,70.9,19742
Hampton,64,Rte 64 Ebl,Hampton Rvr & Boxwood St,"37.029406, -76.333901",Bridge,1958,1987,5,5,5,N,No,No,6/24/2014,No,VDOT,720.1,63,46557
Hampton,664,Rte 664 Ramp D,Newmarket Creek,"37.030063, -76.378577",Bridge,1982,N/A,7,5,5,N,No,No,3/13/2014,No,VDOT,1022,44,76725
Hampton,64,IS 64 WBL HRT,Newmarket Creek,"37.030928, -76.377318",Culvert,1981,N/A,N,N,N,8,No,No,1/27/2014,No,VDOT,12.1,140,32500
Hampton,664,Rte 664 Sbl On Ramp,IS 64 & Newmarket Creek,"37.031202, -76.379142",Bridge,1981,N/A,6,6,5,N,Yes,No,2/24/2014,No,VDOT,1011.2,44,15250
Hampton,258,WBL MERCURY BLVD.,HAMPTON CREEK,"37.031241, -76.337432",Bridge,1983,N/A,7,7,7,N,No,No,6/26/2013,No,City,384.8,38.7,13518
Hampton,664,Rte 664 Nbl,IS 64 & Newmarket Creek,"37.031288, -76.375945",Bridge,1982,N/A,6,6,6,N,No,No,2/24/2014,No,VDOT,1847.1,44,81000
Hampton,64,Rte 64 Ebl,Route 351 & Hampton Rvr,"37.03153, -76.337463",Bridge,1958,1987,5,6,5,N,Yes,No,9/3/2014,No,VDOT,1443.9,61.7,46557
Hampton,64,Rte 64 Wbl,Hampton Rvr & Route 351,"37.031865, -76.337988",Bridge,1985,N/A,5,5,5,N,No,No,9/4/2014,No,VDOT,2782.2,55.8,44500
Hampton,64,Rte 64 Wbl,Newmarket Creek,"37.031877, -76.377541",Bridge,1959,1981,7,6,6,N,No,No,6/14/2013,No,VDOT,53.1,56.8,46250
Hampton,64,Rte 64,Trib Newmarket Creek,"37.03205, -76.377467",Culvert,1965,N/A,N,N,N,7,No,No,12/2/2011,No,VDOT,15.1,180,143045
Hampton,64,Rte 64 Ebl,Newmarket Creek,"37.032119, -76.377694",Bridge,1959,2005,7,7,7,N,No,No,6/14/2013,No,VDOT,51.8,69.2,52240
Hampton,351,RTE. 351 PEMBR. AV,HAMPTON CREEK,"37.032212, -76.337081",Bridge,2003,N/A,7,7,7,N,No,No,6/26/2013,No,City,750,42,12186
Hampton,64,64 Ebl,Pond @ LaSalle Inter,"37.032385, -76.366139",Bridge,1985,N/A,6,7,7,N,No,No,4/16/2013,No,VDOT,336.9,33.8,6750
Hampton,64,Rte 64 Ebl,Pond @ LaSalle Inter,"37.032496, -76.365559",Bridge,1985,N/A,6,6,7,N,No,No,4/16/2013,No,VDOT,472.1,33.8,10500
Hampton,664,Rte 64 & Ramps A&B,Newmarket Creek,"37.033067, -76.380669",Bridge,1982,N/A,6,5,6,N,No,No,2/20/2014,No,VDOT,1726,44,15250
Hampton,64,Rte 64,LaSalle Ave,"37.033458, -76.362753",Bridge,1959,1984,6,5,5,N,No,No,10/21/2014,No,VDOT,141.1,134.2,93114
Hampton,64,Rte 64,N Armistead Ave,"37.034164, -76.360856",Bridge,1957,1986,6,6,6,N,No,No,6/30/2014,No,VDOT,235.9,123.7,93114
Hampton,64,Rte 64 Eb & Wb,King Street,"37.034239, -76.346776",Bridge,1959,1984,5,5,6,N,No,No,3/25/2014,No,VDOT,169.9,114.8,93114
Hampton,64,Rte 64 Eb & Wb,Rip Rap Road,"37.034891, -76.352799",Bridge,1959,1984,6,6,6,N,Yes,No,3/27/2014,No,VDOT,140.1,113.8,93114
Hampton,64,Rte 64,Owens St Ped Underpass,"37.034914, -76.359049",Culvert,1957,1984,N,N,N,7,No,No,3/1/2012,No,VDOT,7.9,290,93114
Hampton,7022,Pine Chapel Road,IS 64,"37.035616, -76.388453",Bridge,1978,N/A,6,7,6,N,No,No,1/31/2014,No,VDOT,233.9,71.9,12000
Hampton,0,EAST/WEST EXPWAY,OVER WETLANDS,"37.038884, -76.394411",Bridge,2001,N/A,7,8,8,N,No,No,7/10/2013,No,City,98.1,60,1000
Hampton,64,Flyover J,Mercury Blvd Loop B,"37.039464, -76.395794",Bridge,2005,N/A,6,8,7,N,No,No,4/4/2014,No,VDOT,214.9,32.8,1200
Hampton,64,IS64,Mercury Blvd,"37.040309, -76.394706",Bridge,2005,N/A,7,7,7,N,Yes,No,5/15/2013,No,VDOT,290,182,48000
Hampton,0,EAST/WEST EXPWAY,OVER WETLANDS,"37.040349, -76.392587",Bridge,2001,N/A,7,8,8,N,No,No,7/10/2013,No,City,98.1,47.9,1000
Hampton,64,Flyover J,Mercury Blvd & Loop B,"37.040643, -76.397592",Bridge,2005,N/A,6,6,6,N,Yes,No,4/4/2014,No,VDOT,418,32.8,2000
Hampton,258,MERCURY BLVD.,HAMPTON CREEK,"37.041863, -76.335519",Bridge,1971,N/A,7,7,5,N,No,No,6/25/2013,No,City,382.9,38.7,13495
Hampton,64,Flyover I,Mercury Blvd & Ramp L,"37.042184, -76.393998",Bridge,2005,N/A,6,7,7,N,Yes,No,10/15/2013,No,VDOT,599.1,32.8,1200
Hampton,258,Mercury Blvd EBL,King Street,"37.043447, -76.348197",Bridge,1971,N/A,7,7,6,N,No,No,6/11/2013,No,City,182.1,52.2,16298
Hampton,258,Mercury Blvd WBL,King Street,"37.043601, -76.348186",Bridge,1971,N/A,7,7,6,N,No,No,6/11/2013,No,City,182.1,52.2,18734
Hampton,258,MERCURY BLVD.,NEW MARKET CREEK,"37.043809, -76.367942",Bridge,1998,N/A,7,7,7,N,No,No,3/26/2014,No,City,126,166.7,47904
Hampton,167,SBL LASALLE AVE.,RTE 258 (MERCURY BLVD),"37.043901, -76.36375",Bridge,1998,N/A,7,8,7,N,Yes,No,4/21/2014,No,City,240.2,41.3,8500
Hampton,167,NBL LASALLE AVE.,RTE 258 (MERCURY BLVD),"37.043918, -76.363567",Bridge,1998,N/A,7,8,7,N,Yes,No,4/21/2014,No,City,240.2,41.3,8500
Hampton,152,EBL CUNNINGHAM DR.,ROUTE I-64,"37.04415, -76.398543",Bridge,1974,N/A,5,6,6,N,Yes,No,11/10/2014,No,City,324.1,35.1,11011
Hampton,152,WBL CUNNINGHAM DR.,ROUTE I-64,"37.04427, -76.398618",Bridge,1974,N/A,5,6,6,N,Yes,No,11/10/2014,No,City,324.1,35.1,12902
Hampton,167,LaSalle Ave. NBL,Newmarket Creek,"37.047144, -76.364328",Bridge,1965,N/A,7,6,6,N,Yes,No,11/20/2013,No,City,160.1,33.1,6638
Hampton,167,LaSalle Ave. SBL,Newmarket Creek,"37.047149, -76.364178",Bridge,1965,N/A,7,6,6,N,Yes,No,11/20/2013,No,City,160.1,33.1,6147
Hampton,134,Magruder BLvd.,IS 64,"37.051507, -76.40692",Bridge,2004,N/A,7,7,6,N,Yes,No,5/22/2014,No,VDOT,376,50.5,18000
Hampton,0,ARMSTEAD AVE.,TIDE MILL CREEK,"37.055267, -76.380927",Bridge,1987,N/A,7,7,7,N,No,No,9/18/2014,No,City,48.9,81,23655
Hampton,0,HRPC Ebl,IS 64,"37.059116, -76.417125",Bridge,1989,N/A,7,7,7,N,No,No,12/16/2013,No,VDOT,482,55.8,5500
Hampton,0,HRCP Wbl,IS 64,"37.05933, -76.417983",Bridge,1989,N/A,7,7,7,N,No,No,12/16/2013,No,VDOT,482,56.1,5500
Hampton,0,Hamp Rds Ctr Pkwy,Billy Woods Canal,"37.059699, -76.425665",Culvert,1989,N/A,N,N,N,5,No,No,12/6/2013,No,VDOT,32.2,301,40415
Hampton,0,HMPT. RDS. C. PKWY,Billy Woods Canal,"37.059741, -76.425907",Culvert,1989,N/A,N,N,N,7,No,No,12/6/2013,No,VDOT,8.9,310,40415
Hampton,64,Hamp Rds Ctr Pkwy,Billy Woods Canal,"37.059763, -76.42478",Culvert,1989,N/A,N,N,N,7,No,No,12/5/2013,No,VDOT,44,242,9000
Hampton,64,Ramp @ HRC Parkway,Billy Woods Canal,"37.060018, -76.421433",Culvert,1989,N/A,N,N,N,6,No,No,12/5/2013,No,VDOT,41,58,7500
Hampton,134,Armistead Avenue,Newmarket Creek,"37.060018, -76.421433",Bridge,2004,N/A,7,7,7,N,No,No,3/26/2014,No,City,128,103.3,22000
Hampton,64,Flyover J,IS 64 & Ramp M,"37.060018, -76.421433",Bridge,2005,N/A,7,7,7,N,Yes,No,4/10/2014,No,VDOT,306.1,32.8,2000
Hampton,64,Rte 64 Wbl,Billy Woods Canal,"37.060137, -76.419142",Bridge,1959,1999,7,6,6,N,No,No,12/16/2013,No,VDOT,123,83,42000
Hampton,64,Rte 64 Ebl,Billy Woods Canal,"37.060198, -76.418829",Bridge,1959,1999,7,6,6,N,No,No,12/16/2013,No,VDOT,123,86.9,64472
Hampton,0,EBL HMPT.RDS.C PW.,RTE. 134,"37.060235, -76.401147",Bridge,1989,N/A,7,6,6,N,No,No,6/24/2014,No,City,280.8,43.6,6940
Hampton,64,"RMP. ""D"" H. C. PKW",Billy Woods Canal,"37.060399, -76.415119",Culvert,1989,N/A,N,N,N,6,No,No,12/5/2013,No,VDOT,7.9,63,7500
Hampton,0,WBL HAMP RDS C PW,RTE. 134,"37.060423, -76.401136",Bridge,1989,N/A,7,6,6,N,No,No,6/24/2014,No,City,279.9,43.6,7131
Hampton,64,RMP. HMP. C. PKWY.,Billy Woods Canal,"37.060588, -76.415741",Culvert,1989,N/A,N,N,N,6,No,No,12/5/2013,No,VDOT,70.9,71,9000
Hampton,134,MAGRUDER BLVD.,BILLY WOODS CANAL,"37.061484, -76.400754",Bridge,1963,1990,6,6,6,N,No,No,5/8/2014,No,City,97.1,124.3,16790
Hampton,0,ARMSTEAD AVE.,BILLY WOODS CANAL,"37.061579, -76.385978",Bridge,1987,N/A,7,7,7,N,No,No,9/18/2014,No,City,57.1,81,21970
Hampton,0,HAM.ROADS CEN. PK.,STREAM,"37.063427, -76.448794",Culvert,1989,N/A,N,N,N,6,No,No,5/8/2014,No,City,34.1,387,36000
Hampton,167,LaSalle Avenue,Tide Mill Creek,"37.064043, -76.366184",Bridge,1965,N/A,6,6,5,N,No,No,11/20/2013,No,City,222.1,59.1,13492
Hampton,0,Big Bethel Road,IS 64,"37.06591, -76.42758",Bridge,1989,N/A,7,5,7,N,No,No,10/29/2013,No,VDOT,286.1,76.1,27000
Hampton,0,Beach Road,Long Creek,"37.081455, -76.285153",Bridge,1958,N/A,6,5,5,N,No,No,10/28/2013,No,City,82,37.1,1306
Hampton,172,WYTHE CREEK ROAD,BRICK KILN CREEK,"37.108341, -76.39342",Bridge,1981,N/A,6,6,6,N,No,No,7/21/2014,No,City,112.9,42,17015
Hampton,172,RTE. 172 CMDR. SHEP,RTE. 134 (MAGRUDER BLVD),"37.079991, -76.395473",Bridge,2011,N/A,7,7,8,N,No,No,6/12/2013,No,City,237.7,117.7,6800
Isle of Wight County,17,CARROLLTON BLVD.,Chuckatuck Creek,"36.914068, -76.503837",Bridge,1988,N/A,6,6,6,N,No,No,6/11/2014,No,VDOT,2537.1,42,14140
Isle of Wight County,10,SR 10 BYPASS,Little Creek,"36.974690, -76.639070",Culvert,1973,N/A,N,N,N,5,No,No,12/3/2014,No,VDOT,14,109,16010
Isle of Wight County,17,US 17 James River Bridge,James River,"36.975668, -76.502035",Bridge,1980,N/A,5,5,6,N,No,No,9/30/2014,No,VDOT,23200.1,68.2,28341
Isle of Wight County,10,SR 10 BYPASS,Lawson Creek,"37.014121, -76.653666",Culvert,1973,N/A,N,N,N,7,No,No,12/3/2014,No,VDOT,11,131,6471
Isle of Wight County,10,OLD STAGE HIGHWAY,Lawnes Creek,"37.074840, -76.693352",Bridge,1999,N/A,8,8,8,N,No,No,1/10/2014,No,VDOT,62.8,44,4055
Isle of Wight County,58,Carrsville Highway,Beaverdam Swamp,"36.703179, -76.868463",Bridge,1932,1977,6,6,6,N,No,No,10/23/2014,No,VDOT,22.8,47.8,2720
Isle of Wight County,58,Carrsville Highway,Route 632 & CSX Railroad,"36.712726, -76.826069",Bridge,1936,1956,3,3,4,N,No,Yes,1/21/2014,Yes,VDOT,212.9,35.8,2720
Isle of Wight County,258,Courthouse Highway,Champion Swamp,"36.944822, -76.684964",Bridge,1932,1976,5,5,4,N,No,Yes,1/26/2015,No,VDOT,22.5,47.6,4907
Isle of Wight County,258,WALTER'S HWY.,Ducks Swamp,"36.786761, -76.791859",Culvert,1951,N/A,N,N,N,6,No,No,12/7/2011,No,VDOT,17.1,39,4942
Isle of Wight County,258,COURTHOUSE HIGHWAY,Great Swamp,"36.906935, -76.709155",Bridge,1952,1980,6,5,5,N,No,No,5/8/2014,No,VDOT,40.5,33.3,4907
Isle of Wight County,258,WALTERS HWY.,Corrowaugh Swamp,"36.775075, -76.845203",Culvert,1969,N/A,N,N,N,7,No,No,12/7/2011,No,VDOT,19,50,3560
Isle of Wight County,258,ROUTE 258,NS Railroad,"36.771811, -76.850683",Bridge,2001,N/A,7,8,7,N,No,No,2/6/2015,No,VDOT,200.1,45.6,1000
Isle of Wight County,258,ROUTE 258,Beaverdam Swamp,"36.707120, -76.884642",Bridge,2002,N/A,7,8,7,N,No,No,2/5/2013,No,VDOT,330.1,58.4,1000
Isle of Wight County,258,ROUTE 258,Beaverdam Swamp,"36.707120, -76.884642",Bridge,2002,N/A,7,8,7,N,No,No,2/7/2013,No,VDOT,514.1,46.6,1000
Isle of Wight County,258,RTE 258,Route 616,"36.681663, -76.898607",Bridge,2002,N/A,7,8,7,N,No,No,2/6/2015,No,VDOT,188,46.6,1000
Isle of Wight County,258,Route 258,Trib Beaverdam Swamp,"36.680544, -76.898586",Culvert,2003,N/A,N,N,N,7,No,No,12/10/2014,No,VDOT,21,190,1000
Isle of Wight County,460,WINDSOR BLVD.,Ennis Pond,"36.800515, -76.710512",Culvert,1932,N/A,N,N,N,6,No,No,12/13/2011,No,VDOT,13.1,60,14170
Isle of Wight County,460,WINDSOR BLVD.,Burnt Mill Swamp,"36.848496, -76.805221",Bridge,1932,N/A,6,6,5,N,No,No,1/15/2014,No,VDOT,18,65.9,10372
Isle of Wight County,460,WINDSOR BLVD.,Antioch Swamp,"36.830460, -76.777818",Culvert,1932,N/A,N,N,N,7,No,No,12/13/2011,No,VDOT,13.1,66,10372
Isle of Wight County,460,WINDSOR BLVD.,Blackwater River @ Zuni,"36.868538, -76.834977",Bridge,1987,N/A,5,5,6,N,No,No,4/24/2014,No,VDOT,215.8,64.1,12012
Isle of Wight County,600,DEER PATH TRAIL,Ennis Pond,"36.823820, -76.726814",Bridge,1956,N/A,6,5,6,N,No,No,3/19/2014,Yes,VDOT,30.5,23,200
Isle of Wight County,600,WOODLAND DRIVE,Great Swamp,"36.870921, -76.669539",Bridge,1967,N/A,7,5,5,N,No,No,3/19/2014,Yes,VDOT,35.7,23.4,215
Isle of Wight County,600,LOVERS LANE,Ennis Pond,"36.807655, -76.716484",Culvert,1998,N/A,N,N,N,7,No,No,12/2/2013,No,VDOT,53.1,39,421
Isle of Wight County,600,BLUE RIDGE TRAIL,Carbell Swamp,"36.844328, -76.689914",Culvert,1999,N/A,N,N,N,7,No,No,12/18/2014,No,VDOT,36,36,148
Isle of Wight County,602,LONGVIEW DRIVE,Pagan Creek,"36.907837, -76.607527",Bridge,1945,N/A,6,5,5,N,Yes,No,3/6/2014,Yes,VDOT,30,20.6,527
Isle of Wight County,602,LONGVIEW DRIVE,Chuckatuck Creek,"36.879968, -76.609136",Bridge,1951,N/A,7,5,6,N,Yes,No,3/6/2014,Yes,VDOT,45,21.1,305
Isle of Wight County,603,SHILOH DRIVE,Ennis Pond,"36.811065, -76.712688",Bridge,1955,N/A,7,5,6,N,Yes,No,3/5/2014,Yes,VDOT,30.8,20,968
Isle of Wight County,603,W. BLACKWATER RD.,Horse Swamp,"36.804241, -76.856933",Culvert,1968,N/A,N,N,N,7,No,No,12/10/2014,No,VDOT,21,48,1034
Isle of Wight County,603,BLACKWATER ROAD,Blackwater River,"36.803843, -76.862540",Bridge,1970,N/A,7,6,6,N,No,No,2/19/2014,No,VDOT,165,30.8,946
Isle of Wight County,611,JOYNER'S BRIDGE RD,Blackwater River,"36.733810, -76.916945",Bridge,1984,N/A,6,7,7,N,No,No,5/12/2014,No,VDOT,210.2,31.8,287
Isle of Wight County,611,JOYNER'S BRIDGE RD,Corrowaugh Swamp,"36.751938, -76.811737",Bridge,1996,N/A,7,7,7,N,No,No,5/12/2014,No,VDOT,62,27.3,367
Isle of Wight County,612,FREEMAN DRIVE,Corrowaugh Swamp,"36.759879, -76.796929",Bridge,1954,N/A,7,5,6,N,Yes,No,2/18/2014,Yes,VDOT,60.7,20.9,742
Isle of Wight County,614,BALLARD ROAD,Corrowaugh Swamp,"36.769970, -76.835351",Bridge,1945,N/A,7,4,6,N,No,Yes,2/9/2015,Yes,VDOT,60.8,20.9,88
Isle of Wight County,614,THOMAS WOOD TRAIL,Blackwater River,"36.864883, -76.838362",Culvert,1970,N/A,N,N,N,5,No,No,12/18/2014,No,VDOT,25,60,776
Isle of Wight County,614,THOMAS WOODS TRAIL,Antioch Swamp,"36.843336, -76.829485",Bridge,1987,N/A,7,7,7,N,No,No,1/15/2015,No,VDOT,288.1,30.8,776
Isle of Wight County,614,RIVER RUN TRAIL,Ducks Swamp,"36.777890, -76.844953",Bridge,1995,N/A,7,7,7,N,No,No,1/15/2015,No,VDOT,53.1,31.8,557
Isle of Wight County,615,JENKINS MILL ROAD,Kingsale Swamp,"36.688817, -76.859429",Bridge,1964,1978,6,5,6,N,Yes,No,1/13/2015,Yes,VDOT,40.8,23.3,484
Isle of Wight County,616,"LEE,S MILL RD.",Beaverdam Swamp,"36.702948, -76.915581",Bridge,1982,N/A,7,7,7,N,No,No,1/27/2014,No,VDOT,111.9,31.8,1372
Isle of Wight County,616,Lee's Mill Road,Trib Beaverdam Swamp,"36.702948, -76.915581",Culvert,2001,N/A,N,N,N,7,No,No,12/10/2014,No,VDOT,20.8,50,1372
Isle of Wight County,620,BROADWATER ROAD,Blackwater River,"36.906267, -76.817068",Bridge,1964,N/A,5,5,6,N,No,No,3/12/2014,No,VDOT,242.2,29,167
Isle of Wight County,620,SCOTT'S FACTORY RD,Champion Swamp,"36.934561, -76.634407",Bridge,1976,N/A,7,5,7,N,Yes,No,7/16/2013,No,VDOT,42,25.6,1676
