Code	Description
5553	5553: Port warehouses
5600	5600: Air and space transportation facility
5610	5610: Runway
5620	5620: Airport maintenance and hangar facility
5630	5630: Airport control tower
5640	5640: Heliport facility
5650	5650: Glideport, seaport, stolport, ultralight or baloonport facility
5700	5700: Railroad facility
5710	5710: Railroad switching facility
5720	5720: Railroad sheds and other support structures
6000	6000: Utility and other nonbuilding structures
6100	6100: Utility structures on right-of-way
6110	6110: Electric lines, phone and cable lines, etc
6111	6111: Distribution circuits with seismically designed components
6112	6112: Distribution circuits with standard components
6120	6120: Gas and fuel lines
6130	6130: Water supply lines
6131	6131: Brittle pipelines
6132	6132: Ductile pipelines
6140	6140: Steam and air conditioning lines
6150	6150: Irrigation channels
6160	6160: Sewer and waste water lines
6161	6161: Brittle pipelines
6162	6162: Ductile pipelines
6200	6200: Water-supply-related facility
6210	6210: Water supply pump station
6211	6211: Pumping plant with anchored equipment < 10 MGD
6212	6212: Pumping plant with unanchored equipment < 10 MGD
6213	6213: Pumping plant with anchored equipment > 10 MGD
6214	6214: Pumping plant with unanchored equipment >10 MGD
6220	6220: Dam
6221	6221: Earth dam, arch
6222	6222: Earth dam, multi-arch
6223	6223: Buttress dam
6224	6224: Gravity dam, rockfill
6225	6225: Gravity dam, concrete
6226	6226: Gravity dam, masonry
6227	6227: Gravity dam, stone
6228	6228: Gravity dam, timber crib
6230	6230: Levee
6240	6240: Culvert
6250	6250: Water tank (elevated, at grade, underground)
6251	6251: On-ground anchored concrete tank
6252	6252: On-ground unanchored concrete tank
6253	6253: On-ground anchored steel tank
6254	6254: On-ground unanchored steel tank
6255	6255: Above ground steel tank
6256	6256: On-ground wood tank
6257	6257: Buried concrete tank
6260	6260: Wells
6270	6270: Water treatment and purification (WTP) facility
6271	6271: WTP with anchored components < 50 MGD
6272	6272: WTP with unanchored components < 50 MGD
6273	6273: WTP with anchored components 50-200 MGD
6274	6274: WTP with unanchored components 50-200 MGD
6275	6275: WTP with anchored components > 200 MGD
6276	6276: WTP with unanchored components > 200 MGD
6280	6280: Water reservoir
6290	6290: Other irrigation facilities
6300	6300: Sewer and waste-related facility
6310	6310: Storage or pumping station facility
6311	6311: Lift stations with anchored components < 10 MGD
6312	6312: Lift stations with unanchored components < 10 MGD
6313	6313: Lift stations with anchored components > 10 MGD
6314	6314: Lift stations with unanchored components > 10 MGD
6320	6320: Landfill facility
6330	6330: Incinerator, composting, or similar facility
6340	6340: Hazardous waste storage facility
6341	6341: High-level waste facility
6342	6342: Transuranic waste facility
6343	6343: Spent fuel facility
6344	6344: Low-level waste facility
6350	6350: Sewer treatment plant
6351	6351: Wastewater Treatment Plant (WWTP) with anchored components < 50 MGD
6352	6352: WWTP with unanchored components < 50 MGD
6353	6353: WWTP with anchored components 50-200 MGD
6354	6354: WWTP with unanchored components 50-200 MGD
6355	6355: WWTP with anchored components > 200 MGD
6356	6356: WWTP with unanchored components > 200 MGD
6400	6400: Gas or electric power generation facility
6410	6410: Gas storage and distribution facility
6420	6420: Gas compressor stations
6421	6421: Gas compressor stations with anchored components
6422	6422: Gas compressor stations with unanchored components
6430	6430: Power generation plants
6431	6431: Power plants with anchored components < 100 MW
6432	6432: Power plants with unanchored components < 100 MW
6433	6433: Power plants with anchored components > 100 MW
6434	6434: Power plants with unanchored components >100 MW
6440	6440: Electric substation and distribution facility
6441	6441: Low-voltage (115 KV) substation with anchored components
6442	6442: Low-voltage (115 KV) substation with unanchored components
6443	6443: Medium-voltage (230 KV) substation with anchored components
6444	6444: Medium-voltage (230 KV) substation with unanchored components
6445	6445: High-voltage (500 KV) substation with anchored components
6446	6446: High-voltage (500 KV) substation with unanchored components
6450	6450: Geothermal facility
6460	6460: Solar and other forms of energy facility
6500	6500: Communication towers
6510	6510: Radio, TV, or wireless transmitter
6520	6520: Weather stations or transmitters
6600	6600: Environmental monitoring station (air, soil, etc)
6700	6700: Sign or billboard
6900	6900: Other miscellaneous structures
6910	6910: Kiosks
6920	6920: Roadside stand, pushcarts, etc
6930	6930: Highway rest stops and welcome centers
6940	6940: Playground equipment
6950	6950: Fountain, sculpture, etc
6960	6960: Stand-alone bathroom facility
6970	6970: Outdoor stage, bandstand, or similar structure
6980	6980: Other installed recreational or athletic equipment
6981	6981: Basketball courts
6982	6982: Tennis courts
6983	6983: Pools and supporting maintenance or bathroom facilities
7000	7000: Specialized military structures
7100	7100: Joint services facility
7200	7200: Air Force facility
7300	7300: Army and marine corps facility
7400	7400: Naval facility
7410	7410: Naval installation
7420	7420: Weapons station
7430	7430: Submarine base
7450	7450: Training center
7460	7460: Communications station
7470	7470: Supply center
7480	7480: Reserve station
7500	7500: Armory building
8000	8000: Sheds, farm buildings, or agricultural facilities
8100	8100: Grain silos and other storage structure for grains and agricultural products
8200	8200: Livestock facility
8210	8210: Dairy facility
8220	8220: Poultry facility
8230	8230: Cattle facility
8240	8240: Stables and other equine-related facilities
8300	8300: Animal feed operations facility
8310	8310: Confined feedlot facility
8400	8400: Animal waste-handling facility
8410	8410: In ground silos
8420	8420: Waste lagoons
8430	8430: Concrete storage units, covered
8440	8440: Concrete storage units, uncovered
8450	8450: Composting facility
8500	8500: Greenhouses
8600	8600: Hatcheries
8700	8700: Kennels and other canine-related facilities
8800	8800: Apiary and other related structures
8900	8900: Other farm and farming-related structures
