Sand,,,,,98.76,98.76,98.28,98.28,98.93,98.93,97.07,95.41,,99.57,97.48,96.44,96.80,97.71,96.93,96.93,95.74,97.14,99.13,70.65,80.40,64.38,64.38,96.57,97.81,
Mud,,,,,1.22,1.22,0.90,0.90,0.71,0.71,2.11,2.35,,0.22,2.27,3.28,3.16,2.15,,2.70,4.23,0.50,0,1.14,0.07,0.54,0.54,1.33,1. 75,
Phi,mean,grain,size,,2.84,2.84,2.62,2.62,2.29,2.29,2.82,2.72,,2.27,2.97,2.91,3.11,3.07,,3.04,3.20,1.69,1.84,0.17,0.76,0.26,0.26,2.66,2.88,
Phi,standard,standard,deviation,deviation,0.58,0.58,0.76,0.76,0.91,0.91,0.93,1.11,,0.63,0.64,0.79,0.57,0.55,,0.64,0.64,0.82,0.64,1.66,1.57,,1.66,1.06,0.84,
,,,,,,Weight,percent,percent,percent,of,heavy-mineral,heavy-mineral,fraction,fraction,(S.G.),2.85),,,,,,Weight,percent,of,heavy-mineral,heavy-mineral,heavy-mineral,fraction,(S .G . ),2.85)
Magnetite,Magnetite,(1),,,,,4.2,,,,,3.3,,1.2,3.1,3.9,2.8,2.8,,4.5,4.7,2.5,,,,,,2.0,,
Ilmenite,Ilmenite,,,,,,15.4,,,,,20.8,,13.4,8.7,12.2,9.4,10.6,11.4,11.4,13.0,11.4,,,,,,13.4,,
Mica,,,,,,,TR,,,,,TR,,TR,TR,TR,TR,TR,TR,TR,TR,TR,,,,,,TR,,
Garnet,,,,,,,5.2,,,,,6.3,,14.3,6.2,6.1,5.7,4.6,,6.4,10 . 6,8.9,,,,,,2.4,,
Epidote,Epidote,,,,,,7.0,,,,,3.3,,3.3,4.2,3.0,7.4,9.2,,8. 1,5.3,1.3,,,,,,2.8,,
Tourmaline,Tourmaline,,,,,,0.5,,,,,1.2,,0.6,1.9,1.4,1.7,1.1,,1.1,1.0,TR,,,,,,5.6,,
Hornblende,Hornblende,,,,,,31.6,,,,,29.5,,19 . 1,27.4,24.7,21.6,24 .6,27.4,27.4,27.6,39.2,,,,,,39.0,,
Staurol ite,Staurol ite,,,,,,10.2,,,,,10.7,,14 .3.,6.9,8.3,9.7,7.7,,8.1,8.6,22.8,,,,,,9.6,,
Rutile,,,,,,,1.5,,,,,0.9,,1.0,1.2,1.2,1.1,,,0.8,0.7,3.8,,,,,,1.2,,
Sil1imanite/kyan;te,Sil1imanite/kyan;te,Sil1imanite/kyan;te,Sil1imanite/kyan;te,,,,3.0,,,,,1.2,,0.9,1.2,1.2,1.1,1.1,,,1.3,2.5,,,,,,1.6,,
Pyroxene,Pyroxene,,,,,,2.0,,,,,2.7,,4.0,5.0,3.7,10.2,9.2,10.6,10.6,11.6,2.5,,,,,,0.2,,
Sphene,,,,,,,2.0,,,,,2.1,,1.2,1.0,1.4,1.1,1.8,,0.9,2.7,TR,,,,,,0.8,,
Tremolite/actinolite,Tremolite/actinolite,Tremolite/actinolite,Tremolite/actinolite,Tremolite/actinolite,,,0.5,,,,,TR,,,,TR,,TR,,0.5,0.3,TR,,,,,,0.4,,
Leucoxene,Leucoxene,,,,,,TR,,,,,TR,,TR,TR,TR,TR,TR,TR,TR,TR,TR,,,,,,0.4,,
Monazite,Monazite,,,,,,0.2,,,,,TR,,,,,,,,,,,,,,,,TR,,
Zircon,(2),,,,,,16.2,,,,,17 .6,,25.5,31.8,31.2,27.3,26.1,18.4,18.4,13.0,2.5,,,,,,18.1,,
Other,,,,,,,0.5,,,,,0.4,,1.2,1.4,1.7,0.9,1.2,,1.8,TR,2.6,,,,,,2.8,,
ECON,(3),,,,,,36.3,,,,,40.5,,40.8,42.9,45.8,38.9,37.8,30.6,30.6,28.0,20.2,,,,,,34.7,,
(I),Magnetite,Magnetite,fraction,fraction,,probably,probably,includes,includes,includes,some,magnetic,ilmenite.,ilmenite.,,,,,,,,,,,,,,,,
(2),Zircon,fraction,fraction,fraction,may,contain,contain,some,some,quartz,contamination.,contamination.,contamination.,,,,,.,,,,,,,,,,,,
(3),ECON,defined,defined,as,sum,of,percent,percent,of,ilmenite.,ilmenite.,rutile.,rutile.,"sillimanite,","sillimanite,",leucoxene.,monazlte.,monazlte.,and,and,,,,,,,,,,
,zircon.,zircon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
