,Phi,mean,grain,size,,2.89,2.60,,,2.21,2.26,,2.75,3.06,3.04,3.04,3.10,2.62,0.31,2.49,3.28,3.19,2.78,2.55,3.06,3.25,3.07,2.76,1.89,3.21,2.99,
,Phi,standard,deviation,deviation,,0.62,0.86,,,0.59,0.60,,0.79,0.62,0.54,0.54,0.58,0.77,1. 20,1.51,0.59,0.58,0.70,0.89,0.69,0.55,0.59,0.70,0.55,0.61,0.58,
,,,,,,Weight,percent,percent,,of,heavy-mineral,heavy-mineral,heavy-mineral,fraction,(S.G.,>,2.85),,,,Weight,percent,of,heavy-mineral,heavy-mineral,fraction,(5.,G. ~,2. 85),,,
,Magnetite,Magnetite,(1),,1.9,1.9,3.3,,TR,,TR,3.2,3.2,3.7,2.7,,3.5,1.6,TR,3.4,3.7,,,2.0,,4.8,,4.1,TR,4.0,,
,Ilmenite,Ilmenite,,,10.6,10.6,13.3,,8.1,,7.5,8.9,8.9,12.3,7. 6,,8.6,7.2,12 . 8,10.9,8.5,,,13.0,,13.9,,12.3,13.7,10.6,,
,Mica,,,,TR,TR,TR,,TR,,,TR,,TR,TR,,,TR,TR,TR,TR,,,TR',,TR,,TR,,TR,,
,Garnet,,,,1.9,1.9,2.1,,4.9,4.9,4.5,1.8,1.8,7.0,3.9,,1.3,3.6,10 . 3,1.9,0.6,,,7.5,,0.5,,8.2,13.7,14.6,,
,Epi dote,Epi dote,,,5.7,5.7,5.8,,7. 3,7. 3,6.0,6.6,6.6,2.9,8.9,,4.8,4.6,5.1,6.4,11.0,,,7. 7,,3.8,,5.7,4.8,8.8,,
,Tourmal i ne,Tourmal i ne,,,1.5,1.5,2.1,,2.4,2.4,2.2,1.4,1.4,0.4,2.3,,1.3,2.0,5.1,1.9,1.2,,,0. 4,,1.9,,0.8,0.7,0.4,,
,Hornblende,Hornblende,,,38 . 4,38 . 4,29.2,,30.9,30.9,38.1,26.4,26.4,31.3,30.2,,26.8,25.2,28 . 2,22.6,21.3,,,24.2,,42.3,,24.6,31. 5,39.4,,
,Stauro 1 i te,Stauro 1 i te,,,6.5,6.5,8.8,,13.0,13.0,9.7,5.7,5.7,5.8,5.7,,9.9,7.4,10.3,11.3,7.3,,,12.8,,11.5,,10.7,16.4,5. 5,,
,Rutile,,,,1.5,1.5,1.3,,0.8,0.8,0.7,0.9,0.9,. 0.8,0.9,,1.3,0.8,2.6,1.9,1.2,,,1.6,,1.0,,1.6,4.1,,,
,Sil1imanite/kyanite,Sil1imanite/kyanite,Sil1imanite/kyanite,Sil1imanite/kyanite,0. 8,0. 8,0.4,,1.6,1.6,1.5,0.9,0.9,0.8,0.9,,,,TR,0.4,TR,,,2.4,,3.4,,3.3,1.4,2.2,,
,Pyroxene,Pyroxene,,,11.0,11.0,6.7,,18.7,,9.0,9.8,9.8,9.9,10.1,,6.7,7.4,5.1,7.2,7.3,,,2.6,,,,0.8,1.4,,,
,Sphene,,,,0.8,0.8,0.8,,TR,,0.7,2.3,2.3,1.2,0.7,,2.2,1.4,5.1,1.1,1.2,,,2.0,,1.0,,0.8,1.4,1.5,,
,Tremolite/actinolite,Tremolite/actinolite,Tremolite/actinolite,Tremolite/actinolite,TR,,TR,,,,,,,,,,,,,,,,,0.4,,0.5,,0.8,TR,0.4,,
,Leucoxene,Leucoxene,,,TR,,TR,,TR,,TR,TR,,TR,,,TR,TR,TR,TR,TR,,,,,TR,,TR,,1.1,,
,Monazite,Monazite,,,TR,,TR,,,,TR,,,,,,,,TR,TR,TR,,,TR,,0.5,,1.6,0.7,2.2,,
,Zircon,(2),,,18.3,18.3,24.6,,12 . 2,12 . 2,17.9,30.5,30.5,22.6,23.1,,28.8,37.8,10.3,29.4,35.4,,,15.7,,10.1,,24.6,10.3,7.3,,
,Other,,,,0.1,0.1,1.6,,0.1,,2.2,1.6,1.6,1.3,3.0,,4.8,1.0,5.1,1.6,1.3,,,7.7,,4.8,,0.1,,2.0,,
,ECON,(3),,,31.2,31.2,39.6,,22.7,,27.6,41.2,41.2,36.5,32.5,,38.7,45.8,25.7,42.6,45.1,,,32.7,,28.9,,43.4,30.2,23.4,,
,(1),Magnetite,fraction,fraction,,probably,probably,includes,includes,some,magnetic,magnetic,magnetic,ilmenite.,,,,,,,,,,,,,,,,,,
,(2),Zircon,fraction,fraction,may,contain,contain,some,quartz,quartz,contami nation.,contami nation.,contami nation.,,,,,,,,,,,,,,,,,,,
,( 3 ),ECON,defined,as,sum,of,percent,of,ilmenite.,ilmenite.,ilmenite.,rut'ile.,rut'ile.,sillimanite.,sillimanite.,leucoxene.,leucoxene.,"monazite,","monazite,",,,,,,,,,,,,,
,,and,zircon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~,~,~,,,,,,,,,,,.........,.........,,,::.....J,..........,..........,--',--',L..J,'--,'--,'---',,,..........,.-'~,.-'~,..........,..........
