OBJECTID,FTR_CODE,VDOT,SPEEDLIMIT,PRE_DIR,PRE_TYPE,ST_NAME,ST_TYPE,SUF_DIR,LADD_FR,LADD_TO,RADD_FR,RADD_TO,FULLNAME,LBLOCK,HBLOCK,ONEWAY,CLASS,BLOCK,ADDTYP,ROW,SHAPElen
19096,Navigable Streets,Principal Arterials,35, , ,WATERSIDE,DRIVE, ,0,0,0,0,WATERSIDE DRIVE,900,900,divided oneway,Major,900,0,arterial/collector,60.028218
17045,Navigable Streets,Local Streets- Public,25, , ,LOUISA,STREET, ,400,430,401,429,LOUISA STREET,400,400,bidirectional,Minor,400,0,residential,257.310783
16556,Navigable Streets,Interstate,55, , ,I-64E,HIGHWAY, ,0,0,0,0,I-64E HIGHWAY,0,0,divided oneway,Interstate,0,0,arterial/collector,4124.165537
19097,Navigable Streets,Local Streets- Private,25,,,COMMANDER,PARKWAY,,0,0,0,0,COMMANDER PARKWAY,6100,6100,divided oneway,Private,6100,0,residential,247.317227
17844,Navigable Streets,Local Streets- Public,25, , ,STONEY POINT NORTH, , ,6588,6598,6587,6599,STONEY POINT NORTH,6500,6500,bidirectional,Minor,6500,0,residential,155.469691
16250,Navigable Streets,Local Streets- Private,25, , ,PRESIDENTIAL,PARKWAY, ,2300,2350,2301,2349,PRESIDENTIAL PARKWAY,0,0,bidirectional,Private,2300,0,residential,780.074952
19098,Navigable Streets,Local Streets- Private,25,,,COMMANDER,PARKWAY,,0,0,0,0,COMMANDER PARKWAY,6100,6100,divided oneway,Private,6100,0,residential,243.176078
17845,Navigable Streets,Local Streets- Public,25, , ,STONEY POINT NORTH, , ,6600,6634,6601,6635,STONEY POINT NORTH,6600,6600,bidirectional,Minor,6600,0,residential,403.550385
16113,Navigable Streets,Local Streets- Public,15, , ,PRESIDENTIAL,PARKWAY, ,2600,2698,0,0,PRESIDENTIAL PARKWAY,2600,2600,bidirectional,Minor,2600,0,not permitted,395.051015
19099,Navigable Streets,Local Streets- Private,25,,,COMMANDER,PARKWAY,,0,0,0,0,COMMANDER PARKWAY,6100,6100,divided oneway,Private,6100,0,not permitted,283.713206
17846,Navigable Streets,Principal Arterials,30,E, ,BRAMBLETON,AVENUE, ,801,899,0,0,E BRAMBLETON AVENUE,800,800,divided oneway,Major,800,0,arterial/collector,556.62694
16588,Navigable Streets,Local Streets- Public,25, , ,26TH BAY,STREET, ,9501,9551,9500,9550,26TH BAY STREET,9500,9500,bidirectional,Minor,9500,0,residential,332.39999
19100,Navigable Streets,Local Streets- Private,25,,,COMMANDER,PARKWAY,,0,0,0,0,COMMANDER PARKWAY,6100,6100,divided oneway,Private,6100,0,not permitted,269.766381
17562,Navigable Streets,Local Streets- Public,25, , ,DUNE,STREET, ,700,726,701,729,DUNE STREET,700,700,bidirectional,Minor,700,0,residential,523.231945
16580,Navigable Streets,Local Streets- Public,25, , ,PRETTY LAKE,AVENUE, ,4300,4400,4301,4401,PRETTY LAKE AVENUE,4300,4300,bidirectional,Minor,4300,0,residential,374.158131
19103,Navigable Streets,Public Alleys,25, , ,CORNWALLIS,LANE, ,601,659,600,658,CORNWALLIS LANE,600,600,bidirectional,Minor,600,0,residential,107.824009
17563,Navigable Streets,Local Streets- Public,25,E, ,WESTMONT,AVENUE, ,404,424,403,425,E WESTMONT AVENUE,400,400,bidirectional,Minor,400,0,residential,845.584879
16857,Navigable Streets,Collectors,25,E, ,OCEAN VIEW,AVENUE, ,4200,4298,4201,4329,E OCEAN VIEW AVENUE,4200,4200,bidirectional,Minor,4200,0,arterial/collector,298.116229
19104,Navigable Streets,Local Streets- Public,45,E, ,VIRGINIA BEACH,BOULEVARD, ,0,0,6541,6599,E VIRGINIA BEACH BOULEVARD,6500,6500,divided oneway,Minor,6500,0,arterial/collector,261.752635
17564,Navigable Streets,Local Streets- Public,25,E, ,WESTMONT,AVENUE, ,500,506,501,505,E WESTMONT AVENUE,500,500,bidirectional,Minor,500,0,residential,252.884874
16858,Navigable Streets,Collectors,25,E, ,OCEAN VIEW,AVENUE, ,4100,4198,4101,4199,E OCEAN VIEW AVENUE,4100,4100,bidirectional,Minor,4100,0,arterial/collector,341.889683
19105,Navigable Streets,Principal Arterials,45,E, ,VIRGINIA BEACH,BOULEVARD, ,0,0,0,0,E VIRGINIA BEACH BOULEVARD,6500,6500,divided oneway,Major,6500,0,arterial/collector,190.181224
17809,Navigable Streets,Minor Arterials,30, , ,BALLENTINE,BOULEVARD, ,1301,1391,1300,1320,BALLENTINE BOULEVARD,1300,1300,bidirectional,Major,1300,0,arterial/collector,195.578843
16859,Navigable Streets,Local Streets- Public,25, , ,22ND BAY,STREET, ,0,0,9630,9634,22ND BAY STREET,9600,9600,bidirectional,Minor,9600,0,residential,277.005643
19106,Navigable Streets,Local Streets- Public,25, , ,WEST GLEN,ROAD, ,7911,7999,0,0,WEST GLEN ROAD,7900,7900,bidirectional,Minor,7900,0,residential,204.805518
17810,Navigable Streets,Local Streets- Public,25, , ,NICHOLSON,STREET, ,200,298,201,299,NICHOLSON STREET,200,200,bidirectional,Minor,200,0,residential,55.229987
16480,Navigable Streets,Local Streets- Public,25, , ,VERNON,DRIVE, ,1700,1762,1731,1745,VERNON DRIVE,1700,1700,bidirectional,Minor,1700,0,residential,498.214218
19107,Navigable Streets,Local Streets- Public,25, , ,ARKANSAS,AVENUE, ,2401,2499,2400,2498,ARKANSAS AVENUE,2400,2400,bidirectional,Minor,2400,0,residential,650.953262
17811,Navigable Streets,Local Streets- Public,25, , ,NICHOLSON,STREET, ,300,398,301,357,NICHOLSON STREET,300,300,bidirectional,Minor,300,0,residential,346.633193
16245,Navigable Streets,Interstate,55, , ,I-64E,HIGHWAY, ,0,0,0,0,I-64E HIGHWAY,0,0,divided oneway,Interstate,0,0,arterial/collector,1011.612601
19108,Navigable Streets,Minor Arterials,30,E, ,INDIAN RIVER,ROAD, ,1900,1998,0,0,E INDIAN RIVER ROAD,1900,1900,divided oneway,Major,1900,0,arterial/collector,219.958461
17410,Navigable Streets,Collectors,25, , ,PLEASANT,AVENUE, ,4800,4898,4801,4899,PLEASANT AVENUE,4800,4800,bidirectional,Minor,4800,0,arterial/collector,319.503325
16724,Navigable Streets,Local Streets- Public,25, , ,SOUTH CAPE HENRY,AVENUE, ,0,0,3821,3825,SOUTH CAPE HENRY AVENUE,3800,3800,bidirectional,Minor,3800,0,residential,122.896991
19109,Navigable Streets,Local Streets- Public,15, , ,VISTA,STREET, ,1100,1198,1101,1199,VISTA STREET,1100,1100,bidirectional,Miscellaneous,1100,0,residential,24.981623
17411,Navigable Streets,Collectors,25, , ,PLEASANT,AVENUE, ,4900,4998,4901,4999,PLEASANT AVENUE,4900,4900,bidirectional,Minor,4900,0,arterial/collector,150.399832
19110,Navigable Streets,Local Streets- Public,15, , ,SPRINGFIELD,AVENUE, ,2500,2598,2501,2599,SPRINGFIELD AVENUE,2500,2500,bidirectional,Minor,0,0,arterial/collector,57.774363
17089,Navigable Streets,Local Streets- Public,25, , ,KIMBALL,LOOP, ,2900,2998,2901,2999,KIMBALL LOOP,2900,2900,bidirectional,Minor,2900,0,arterial/collector,1441.489362
19112,Navigable Streets,Local Streets- Private,25, , ,ELKHORN,AVENUE, ,4501,4599,4500,4598,ELKHORN AVENUE,4500,4500,bidirectional,Private,4500,0,not permitted,60.88428
17027,Navigable Streets,Local Streets- Public,25, , ,MARKET,STREET, ,0,0,0,0,MARKET STREET,500,500,divided oneway,Minor,500,0,arterial/collector,106.571097
19113,Navigable Streets,Principal Arterials,55,, ,TIDEWATER,DRIVE, ,0,0,299,201,TIDEWATER DRIVE,200,200,divided oneway,Major,200,0,arterial/collector,487.853854
17028,Navigable Streets,Local Streets- Public,25, , ,MARKET,STREET, ,545,545,540,540,MARKET STREET,500,500,divided oneway,Minor,500,0,arterial/collector,295.531887
19114,Navigable Streets,Principal Arterials,55,E, ,CITY HALL,AVENUE, ,0,0,1098,1000,E CITY HALL AVENUE,1100,1100,divided oneway,Major,1000,0,arterial/collector,188.858345
17057,Navigable Streets,Local Streets- Public,25, , ,OAKLAWN,AVENUE, ,1101,1199,1100,1198,OAKLAWN AVENUE,1100,1100,bidirectional,Minor,1100,0,residential,263.510166
17058,Navigable Streets,Collectors,25, , ,STURGIS,STREET, ,9639,9651,9640,9640,STURGIS STREET,9600,9600,bidirectional,Minor,9600,0,arterial/collector,337.552391
19115,Navigable Streets,Collectors,25, , ,NORTH SHORE,ROAD, ,1351,1399,1352,1398,NORTH SHORE ROAD,1300,1300,bidirectional,Minor,1300,0,arterial/collector,216.474937
17059,Navigable Streets,Collectors,25, , ,STURGIS,STREET, ,9623,9633,9622,9622,STURGIS STREET,9600,9600,bidirectional,Minor,9600,0,arterial/collector,241.727681
19116,Navigable Streets,Minor Arterials,30, , ,CHURCH,STREET, ,0,0,900,998,CHURCH STREET,900,900,divided oneway,Major,900,0,arterial/collector,236.24007
17091,Navigable Streets,Local Streets- Public,25, , ,GRAYDON,PLACE, ,1401,1459,1400,1470,GRAYDON PLACE,1400,1400,divided oneway,Minor,1400,0,residential,834.375364
17092,Navigable Streets,Local Streets- Public,25, , ,YODER,AVENUE, ,501,599,500,598,YODER AVENUE,500,500,bidirectional,Minor,500,0,residential,160.264013
19117,Navigable Streets,Local Streets- Public,15, , ,MAYFLOWER,ROAD, ,4701,4707,0,0,MAYFLOWER ROAD,4700,4700,bidirectional,Minor,4700,0,residential,54.741365
17138,Navigable Streets,Principal Arterials,35, , ,HAMPTON,BOULEVARD, ,0,0,0,0,HAMPTON BOULEVARD,9000,9000,divided oneway,Major,9000,0,arterial/collector,569.057256
19118,Navigable Streets,Local Streets- Public,15, , ,WOOD,STREET, ,812,898,811,899,WOOD STREET,800,800,bidirectional,Minor,800,0,residential,216.204537
17139,Navy Streets,Base Roads,25, , ,MARYLAND,AVENUE, ,0,0,9300,9398,MARYLAND AVENUE,9300,9300,divided oneway,Naval Base,9300,0,not permitted,307.734889
19119,Navigable Streets,Local Streets- Public,15, , ,CLAIBORNE,AVENUE, ,1900,1998,1901,1999,CLAIBORNE AVENUE,1900,1900,bidirectional,Minor,1900,0,residential,26.60188
17140,Navy Streets,Base Roads,25, , ,MARYLAND,AVENUE, ,0,0,9300,9398,MARYLAND AVENUE,9300,9300,divided oneway,Naval Base,9300,0,not permitted,82.638093
19120,Navigable Streets,Principal Arterials,30, , ,SAINT PAULS,BOULEVARD, ,0,0,300,300,SAINT PAULS BOULEVARD,300,300,divided oneway,Major,300,0,arterial/collector,557.496053
17151,Navigable Streets,Local Streets- Public,25, , ,PARKVIEW,AVENUE, ,1800,1838,1801,1835,PARKVIEW AVENUE,1800,1800,bidirectional,Minor,1800,0,residential,515.961651
17186,Navigable Streets,Local Streets- Public,25, , ,51ST,STREET, ,801,899,800,898,51ST STREET,800,800,bidirectional,Minor,800,0,residential,735.492394
19121,Navigable Streets,Local Streets- Public,25,W,,25TH,STREET,,1401,1499,1400,1498,W 25TH STREET,1400,1400,bidirectional,Minor,1400,0,residential,114.45901
17498,Navigable Streets,Local Streets- Public,25, , ,DULWICH,CRESCENT, ,0,0,9500,9598,DULWICH CRESCENT,9500,9500,bidirectional,Minor,9500,0,residential,231.269008
19122,Navigable Streets,Local Streets- Public,25, , ,EVELYN T BUTTS,AVENUE, ,7201,7299,7200,7298,EVELYN T BUTTS AVENUE,7200,7200,bidirectional,Minor,7200,0,residential,147.404227
19123,Navigable Streets,Local Streets- Public,25, , ,FLOWERFIELD,ROAD, ,3800,3898,3801,3899,FLOWERFIELD ROAD,3800,3800,bidirectional,Minor,3800,0,residential,430.948806
17026,Navigable Streets,Local Streets- Public,25, , ,MARKET,STREET, ,0,0,0,0,MARKET STREET,500,500,divided oneway,Minor,500,0,arterial/collector,188.993693
17188,Navigable Streets,Local Streets- Public,25, , ,LAKE HERBERT,DRIVE, ,0,0,0,0,LAKE HERBERT DRIVE,5800,5800,bidirectional,Minor,5800,0,arterial/collector,471.207514
19124,Navigable Streets,Local Streets- Public,25, , ,MADISON,AVENUE, ,1653,1659,0,0,MADISON AVENUE,1600,1600,bidirectional,Minor,1600,0,residential,144.730044
17189,Navigable Streets,Principal Arterials,45,N, ,MILITARY,HIGHWAY, ,1261,1295,1274,1280,N MILITARY HIGHWAY,1200,1200,bidirectional,Major,1200,0,arterial/collector,837.612624
19368,Miscellaneous Streets,Miscellaneous,15, , ,MISCELLANEOUS,STREET, ,0,0,0,0,MISCELLANEOUS STREET,0,0,bidirectional,Miscellaneous,0,0,not permitted,210.596101
17210,Navigable Streets,Local Streets- Public,25, , ,WOODVIEW,AVENUE, ,100,100,101,101,WOODVIEW AVENUE,100,100,bidirectional,Minor,100,0,residential,179.805218
19369,Miscellaneous Streets,Miscellaneous,15, , ,MISCELLANEOUS,STREET, ,0,0,0,0,MISCELLANEOUS STREET,0,0,bidirectional,Miscellaneous,0,0,not permitted,372.993941
17211,Navigable Streets,Local Streets- Public,25, , ,WOODVIEW,AVENUE, ,104,150,105,151,WOODVIEW AVENUE,100,100,bidirectional,Minor,100,0,residential,548.330561
19770,Navigable Streets,Public Alleys,25, , ,CORNWALLIS,LANE, ,6577,6599,6578,6598,CORNWALLIS LANE,6500,6500,bidirectional,Minor,6500,0,residential,278.320436
17276,Navigable Streets,Local Streets- Public,25, , ,DEBREE,AVENUE, ,2715,2715,2714,2714,DEBREE AVENUE,2700,2700,bidirectional,Minor,2700,0,residential,272.904655
19771,Navigable Streets,Public Alleys,25, , ,BRANDYWINE,LANE, ,6601,6625,6600,6624,BRANDYWINE LANE,6600,6600,bidirectional,Minor,6600,0,residential,242.60479
17277,Navigable Streets,Local Streets- Public,25, , ,COMMONWEALTH,AVENUE, ,1501,1599,1500,1598,COMMONWEALTH AVENUE,1500,1500,bidirectional,Minor,1500,0,residential,544.28107
17278,Navigable Streets,Local Streets- Public,25, , ,COLONIAL,AVENUE, ,301,399,300,398,COLONIAL AVENUE,300,300,bidirectional,Minor,300,0,residential,174.508638
17305,Navigable Streets,Local Streets- Public,25, , ,4TH VIEW,STREET, ,9701,9799,9700,9798,4TH VIEW STREET,9700,9700,bidirectional,Minor,9700,0,arterial/collector,294.414864
17307,Miscellaneous Streets,Miscellaneous,15, , ,MISCELLANEOUS,STREET, ,0,0,0,0,MISCELLANEOUS STREET,0,0,bidirectional,Miscellaneous,0,0,not permitted,144.639177
17337,Navigable Streets,Local Streets- Public,35, , ,CAMELLIA,ROAD, ,0,0,7924,7932,CAMELLIA ROAD,7900,7900,divided oneway,Minor,7900,0,residential,196.246024
17338,Navigable Streets,Local Streets- Public,25, , ,DOMINION,AVENUE, ,0,0,3521,3529,DOMINION AVENUE,3500,3500,bidirectional,Minor,3500,0,arterial/collector,120.480589
17339,Navigable Streets,Local Streets- Public,35, , ,CAMELLIA,ROAD, ,0,0,7916,7916,CAMELLIA ROAD,7900,7900,bidirectional,Minor,7900,0,residential,103.769438
17376,Miscellaneous Streets,Miscellaneous,15, , ,MISCELLANEOUS,STREET, ,0,0,0,0,MISCELLANEOUS STREET,0,0,bidirectional,Miscellaneous,0,0,not permitted,437.692081
17377,Navigable Streets,Local Streets- Public,25, , ,TOLER,PLACE, ,1101,1107,1100,1114,TOLER PLACE,1100,1100,bidirectional,Minor,1100,0,residential,192.137056
17378,Navigable Streets,Local Streets- Public,25, , ,TOLER,PLACE, ,0,0,1124,1170,TOLER PLACE,1100,1100,bidirectional,Minor,1100,0,residential,564.07766
17379,Navigable Streets,Local Streets- Public,25, , ,12TH VIEW,STREET, ,9701,9799,9700,9798,12TH VIEW STREET,9700,9700,bidirectional,Minor,9700,0,residential,141.806478
17392,Navigable Streets,Collectors,25,W, ,OCEAN VIEW,AVENUE, ,0,0,1076,1098,W OCEAN VIEW AVENUE,1000,1000,divided oneway,Minor,1000,0,arterial/collector,191.21604
17394,Navigable Streets,Collectors,25,W, ,OCEAN VIEW,AVENUE, ,0,0,1062,1074,W OCEAN VIEW AVENUE,1000,1000,divided oneway,Minor,1000,0,arterial/collector,149.228048
17406,Navigable Streets,Local Streets- Public,25,,,29TH BAY,STREET,,9533,9599,9532,9598,29TH BAY STREET,9500,9500,signed oneway,Minor,9500,0,residential,537.833647
17414,Navy Streets,Base Roads,25, , ,BLANDY,ROAD, ,7887,7905,7888,7906,BLANDY ROAD,7800,7900,bidirectional,Naval Base,7900,0,not permitted,211.114848
17416,Navy Streets,Base Roads,25, , ,FLEET,ROAD, ,0,0,0,0,FLEET ROAD,1400,1400,bidirectional,Naval Base,1400,0,not permitted,173.300817
17515,Navigable Streets,Principal Arterials,30,E, ,OCEAN VIEW,AVENUE, ,701,799,700,798,E OCEAN VIEW AVENUE,700,700,bidirectional,Major,700,0,arterial/collector,583.983459
17003,Navigable Streets,Local Streets- Public,25, , ,CARY,AVENUE, ,0,0,2821,2835,CARY AVENUE,2800,2800,bidirectional,Minor,2800,0,residential,392.833443
17468,Navigable Streets,Local Streets- Public,25,,,NORCHESTER,AVENUE,,0,0,1400,1432,NORCHESTER AVENUE,1400,1400,bidirectional,Minor,1400,0,residential,456.383924
17033,Navigable Streets,Minor Arterials,25,E, ,CITY HALL,AVENUE, ,0,0,500,500,E CITY HALL AVENUE,500,500,divided oneway,Major,500,0,arterial/collector,504.978029
17034,Navigable Streets,Minor Arterials,25,E, ,CITY HALL,AVENUE, ,0,0,530,530,E CITY HALL AVENUE,500,500,divided oneway,Major,500,0,arterial/collector,221.546262
17035,Navigable Streets,Local Streets- Public,25,E, ,CITY HALL,AVENUE, ,0,0,0,0,E CITY HALL AVENUE,500,500,divided oneway,Minor,500,0,arterial/collector,24.166001
17036,Navigable Streets,Local Streets- Public,25,E, ,CITY HALL,AVENUE, ,0,0,0,0,E CITY HALL AVENUE,500,500,divided oneway,Minor,500,0,arterial/collector,141.060364
17123,Navigable Streets,Local Streets- Public,25, , ,SUMMERS,DRIVE, ,500,598,501,599,SUMMERS DRIVE,500,500,bidirectional,Minor,500,0,residential,1488.620886
17124,Navigable Streets,Local Streets- Public,25, , ,GATES,AVENUE, ,1401,1499,1400,1498,GATES AVENUE,1400,1400,bidirectional,Minor,1400,0,residential,550.179411
17125,Navigable Streets,Local Streets- Public,25, , ,STATEN,STREET, ,0,0,400,498,STATEN STREET,400,400,bidirectional,Minor,400,0,residential,412.151798
17126,Navigable Streets,Local Streets- Public,25, , ,WILLOUGHBY BAY,AVENUE, ,0,0,400,498,WILLOUGHBY BAY AVENUE,400,400,bidirectional,Minor,400,0,residential,349.355485
17171,Navigable Streets,Local Streets- Public,25, , ,BAPAUME,AVENUE, ,3501,3599,3500,3598,BAPAUME AVENUE,3500,3500,bidirectional,Minor,3500,0,residential,793.003196
17172,Navigable Streets,Local Streets- Public,25, , ,MANTEO,STREET, ,801,899,800,898,MANTEO STREET,800,800,bidirectional,Minor,800,0,residential,307.294367
17173,Navigable Streets,Local Streets- Public,25, , ,MARION,STREET, ,1301,1315,1300,1318,MARION STREET,1300,1300,bidirectional,Minor,1300,0,residential,147.014418
17174,Navigable Streets,Local Streets- Public,25,E, ,VIRGINIA BEACH,BOULEVARD, ,0,0,1201,1211,E VIRGINIA BEACH BOULEVARD,1200,1200,bidirectional,Minor,1200,0,arterial/collector,254.441201
17195,Navigable Streets,Local Streets- Public,25, , ,DEBREE,AVENUE, ,2001,2099,0,0,DEBREE AVENUE,2000,2000,bidirectional,Minor,2000,0,residential,147.924421
17196,Navigable Streets,Minor Arterials,30, , ,LLEWELLYN,AVENUE, ,2001,2099,2000,2098,LLEWELLYN AVENUE,2000,2000,bidirectional,Major,2000,0,arterial/collector,286.582582
17235,Navigable Streets,Local Streets- Public,25, , ,SHIRLAND,AVENUE, ,7301,7399,7300,7398,SHIRLAND AVENUE,7300,7300,bidirectional,Minor,7300,0,residential,760.11468
17236,Navigable Streets,Local Streets- Public,25, , ,WOODLAND,AVENUE, ,3110,3136,0,0,WOODLAND AVENUE,3100,3100,bidirectional,Minor,3100,0,residential,623.026693
17237,Navigable Streets,Local Streets- Private,25, , ,TYPO,LANE, ,5500,5598,5501,5599,TYPO LANE,5500,5500,bidirectional,Private,5500,0,residential,347.794829
17263,Navigable Streets,Local Streets- Public,25, , ,DUMONT,AVENUE, ,100,198,101,199,DUMONT AVENUE,100,100,bidirectional,Minor,100,0,residential,878.020343
17284,Navigable Streets,Local Streets- Public,25, , ,SUTTON,STREET, ,0,0,0,0,SUTTON STREET,900,900,bidirectional,Minor,900,0,residential,153.935978
17285,Navigable Streets,Local Streets- Public,25, , ,SUTTON,STREET, ,900,928,929,901,SUTTON STREET,900,900,bidirectional,Minor,900,0,residential,180.734351
17286,Navigable Streets,Local Streets- Public,25, , ,SUTTON,STREET, ,930,938,0,0,SUTTON STREET,900,900,bidirectional,Minor,900,0,residential,139.65698
17362,Navigable Streets,Local Streets- Public,25, , ,GOOCHLAND,STREET, ,0,0,901,937,GOOCHLAND STREET,900,900,bidirectional,Minor,900,0,residential,320.680768
17364,Navigable Streets,Local Streets- Public,35, , ,TIDEWATER,DRIVE, ,0,0,0,0,TIDEWATER DRIVE,1400,1400,divided oneway,Minor,1400,0,arterial/collector,252.824187
17412,Navy Streets,Base Roads,25, , ,BLANDY,ROAD, ,7805,7807,7806,7808,BLANDY ROAD,7800,7800,bidirectional,Naval Base,7800,0,not permitted,230.751172
17522,Navigable Streets,Minor Arterials,35, , ,TIDEWATER,DRIVE, ,0,0,9001,9007,TIDEWATER DRIVE,9000,9000,divided oneway,Major,9000,0,arterial/collector,124.695822
17006,Navigable Streets,Local Streets- Public,25, , ,GODFREY,AVENUE, ,1441,1499,1440,1498,GODFREY AVENUE,1400,1400,bidirectional,Minor,1400,0,residential,312.653141
17007,Navigable Streets,Local Streets- Public,25, , ,HARBOR WALK,AVENUE, ,0,0,4001,4091,HARBOR WALK AVENUE,4000,4000,bidirectional,Minor,4000,0,residential,91.800015
17008,Navigable Streets,Local Streets- Public,25, , ,HARBOR WALK,AVENUE, ,4100,4120,4101,4145,HARBOR WALK AVENUE,4100,4100,bidirectional,Minor,4100,0,residential,244.33424
17016,Navigable Streets,Local Streets- Public,25, , ,SEAFARER,AVENUE, ,0,0,0,0,SEAFARER AVENUE,4200,4200,bidirectional,Minor,4200,0,residential,225.255567
17042,Navigable Streets,Minor Arterials,30, , ,CHESAPEAKE,BOULEVARD, ,3465,3477,0,0,CHESAPEAKE BOULEVARD,3400,3400,divided oneway,Major,3400,0,arterial/collector,278.052908
17043,Navigable Streets,Minor Arterials,30, , ,CHESAPEAKE,BOULEVARD, ,3445,3457,0,0,CHESAPEAKE BOULEVARD,3400,3400,divided oneway,Major,3400,0,arterial/collector,261.264091
17066,Navigable Streets,Minor Arterials,25, , ,PARK,AVENUE, ,0,0,900,950,PARK AVENUE,900,900,divided oneway,Major,900,0,arterial/collector,635.548341
17067,Navigable Streets,Local Streets- Public,25, , ,CORPREW,AVENUE, ,1500,1598,1501,1599,CORPREW AVENUE,1500,1500,bidirectional,Minor,1500,0,residential,406.246193
17068,Navigable Streets,Minor Arterials,25, , ,PARK,AVENUE, ,927,927,0,0,PARK AVENUE,900,900,divided oneway,Major,900,0,arterial/collector,587.703049
17097,Navigable Streets,Local Streets- Public,25, , ,DIGGS,ROAD, ,0,0,7980,7996,DIGGS ROAD,7900,7900,bidirectional,Minor,7900,0,residential,155.758973
17098,Navigable Streets,Local Streets- Public,25, , ,GORNTO,AVENUE, ,0,0,0,0,GORNTO AVENUE,2600,2600,bidirectional,Minor,2600,0,residential,273.963142
17099,Navigable Streets,Local Streets- Public,25, , ,GOSNOLD,AVENUE, ,2701,2799,2700,2798,GOSNOLD AVENUE,2700,2700,bidirectional,Minor,2700,0,residential,270.059407
17100,Navigable Streets,Local Streets- Public,25, , ,GOSNOLD,AVENUE, ,2801,2899,2800,2898,GOSNOLD AVENUE,2800,2800,bidirectional,Minor,2800,0,residential,269.196193
17112,Navigable Streets,Minor Arterials,25,E, ,CITY HALL,AVENUE, ,0,0,201,223,E CITY HALL AVENUE,200,200,bidirectional,Major,200,0,arterial/collector,301.34699
17118,Navigable Streets,Local Streets- Public,25, , ,WEST KENMORE,DRIVE, ,7301,7309,7312,7318,WEST KENMORE DRIVE,7300,7300,signed oneway,Minor,7300,0,residential,188.045756
17119,Navigable Streets,Local Streets- Public,25, , ,GALVESTON,BOULEVARD, ,7221,7231,7222,7230,GALVESTON BOULEVARD,7200,7200,bidirectional,Minor,7200,0,residential,310.623414
17131,Navigable Streets,Minor Arterials,25, , ,AZALEA GARDEN,ROAD, ,1511,1529,1512,1528,AZALEA GARDEN ROAD,1500,1500,bidirectional,Major,1500,0,arterial/collector,298.377353
17132,Navigable Streets,Principal Arterials,40,E, ,PRINCESS ANNE,ROAD, ,0,0,4554,4510,E PRINCESS ANNE ROAD,4500,4500,divided oneway,Major,4500,0,arterial/collector,546.049127
17133,Navigable Streets,Local Streets- Public,25, , ,FORDWICK,DRIVE, ,6801,6899,6800,6898,FORDWICK DRIVE,6800,6800,bidirectional,Minor,6800,0,residential,1329.6305
17160,Navigable Streets,Local Streets- Public,25, , ,LEO,STREET, ,2701,2799,2700,2798,LEO STREET,2700,2700,bidirectional,Minor,2700,0,residential,316.99983
17161,Navigable Streets,Local Streets- Public,25, , ,GLENEAGLES,ROAD, ,7637,7699,7650,7698,GLENEAGLES ROAD,7600,7600,bidirectional,Minor,7600,0,residential,395.564423
